frequency_hz,frequency_khz,x0_m,x1_m,x_left_m,x_right_m,x_left_mm,x_right_mm
100000.0,100.0,0.0397,0.997525,0.0397,0.997525,39.699999999999996,997.525
102000.0,102.0,0.037225,0.9703,0.037225,0.9703,37.225,970.3000000000001
104000.0,104.0,0.037225,0.933175,0.037225,0.933175,37.225,933.175
106000.0,106.0,0.037225,0.89605,0.037225,0.89605,37.225,896.0500000000001
108000.0,108.0,0.037225,0.863875,0.037225,0.863875,37.225,863.875
110000.0,110.0,0.03475,0.8317,0.03475,0.8317,34.75,831.7
112000.0,112.0,0.03475,0.802,0.03475,0.802,34.75,802.0
114000.0,114.0,0.03475,0.7723,0.03475,0.7723,34.75,772.3
116000.0,116.0,0.03475,0.745075,0.03475,0.745075,34.75,745.075
118000.0,118.0,0.03475,0.720325,0.03475,0.720325,34.75,720.325
120000.0,120.0,0.03475,0.695575,0.03475,0.695575,34.75,695.575
122000.0,122.0,0.032275,0.6733,0.032275,0.6733,32.275,673.3
124000.0,124.0,0.032275,0.651025,0.032275,0.651025,32.275,651.025
126000.0,126.0,0.032275,0.62875,0.032275,0.62875,32.275,628.75
128000.0,128.0,0.032275,0.60895,0.032275,0.60895,32.275,608.95
130000.0,130.0,0.032275,0.58915,0.032275,0.58915,32.275,589.15
132000.0,132.0,0.032275,0.571825,0.032275,0.571825,32.275,571.825
134000.0,134.0,0.032275,0.5545,0.032275,0.5545,32.275,554.5
136000.0,136.0,0.032275,0.537175,0.032275,0.537175,32.275,537.175
138000.0,138.0,0.032275,0.522325,0.032275,0.522325,32.275,522.325
140000.0,140.0,0.0298,0.507475,0.0298,0.507475,29.8,507.475
142000.0,142.0,0.0298,0.492625,0.0298,0.492625,29.8,492.625
144000.0,144.0,0.0298,0.477775,0.0298,0.477775,29.8,477.775
146000.0,146.0,0.0298,0.4654,0.0298,0.4654,29.8,465.4
148000.0,148.0,0.0298,0.45055,0.0298,0.45055,29.8,450.55
150000.0,150.0,0.0298,0.438175,0.0298,0.438175,29.8,438.17499999999995
152000.0,152.0,0.0298,0.428275,0.0298,0.428275,29.8,428.27500000000003
154000.0,154.0,0.0298,0.4159,0.0298,0.4159,29.8,415.9
156000.0,156.0,0.0298,0.406,0.0298,0.406,29.8,406.0
158000.0,158.0,0.0298,0.393625,0.0298,0.393625,29.8,393.625
160000.0,160.0,0.0298,0.383725,0.0298,0.383725,29.8,383.72499999999997
162000.0,162.0,0.0298,0.373825,0.0298,0.373825,29.8,373.82500000000005
164000.0,164.0,0.0298,0.363925,0.0298,0.363925,29.8,363.925
166000.0,166.0,0.0298,0.3565,0.0298,0.3565,29.8,356.5
168000.0,168.0,0.0298,0.3466,0.0298,0.3466,29.8,346.6
170000.0,170.0,0.0298,0.339175,0.0298,0.339175,29.8,339.175
172000.0,172.0,0.0298,0.33175,0.0298,0.33175,29.8,331.75
174000.0,174.0,0.0298,0.32185,0.0298,0.32185,29.8,321.85
176000.0,176.0,0.0298,0.314425,0.0298,0.314425,29.8,314.425
178000.0,178.0,0.0298,0.307,0.0298,0.307,29.8,307.0
180000.0,180.0,0.0298,0.30205,0.0298,0.30205,29.8,302.05
182000.0,182.0,0.0298,0.294625,0.0298,0.294625,29.8,294.625
184000.0,184.0,0.0298,0.2872,0.0298,0.2872,29.8,287.2
186000.0,186.0,0.0298,0.279775,0.0298,0.279775,29.8,279.775
188000.0,188.0,0.0298,0.274825,0.0298,0.274825,29.8,274.825
190000.0,190.0,0.0298,0.269875,0.0298,0.269875,29.8,269.875
