x,y
1.000000000000000000e+00,5.000000000000000278e-02
2.000000000000000000e+00,4.500000000000000111e-01
3.000000000000000000e+00,8.499999999999999778e-01
4.000000000000000000e+00,1.050000000000000044e+00
5.000000000000000000e+00,1.179999999999999938e+00
6.000000000000000000e+00,1.280000000000000027e+00
8.000000000000000000e+00,1.379999999999999893e+00
1.000000000000000000e+01,1.449999999999999956e+00
1.200000000000000000e+01,1.500000000000000000e+00
1.500000000000000000e+01,1.520000000000000018e+00
1.800000000000000000e+01,1.479999999999999982e+00
2.000000000000000000e+01,1.419999999999999929e+00
