x,y
1.500000000000000000e+00,5.000000000000000278e-02
2.500000000000000000e+00,5.500000000000000444e-01
3.500000000000000000e+00,9.499999999999999556e-01
5.000000000000000000e+00,1.179999999999999938e+00
7.000000000000000000e+00,1.280000000000000027e+00
1.000000000000000000e+01,1.350000000000000089e+00
1.400000000000000000e+01,1.379999999999999893e+00
1.800000000000000000e+01,1.399999999999999911e+00
2.200000000000000000e+01,1.379999999999999893e+00
2.800000000000000000e+01,1.320000000000000062e+00
