# Mack (1984) Fig 10.1(a), M1=1.6, DUNN-LIN ASYMPTOTIC THEORY (MACK 1960) neutral loop (outermost of 3 curves).
# Re-digitized 2026-07-02 from AGARD-R-709 embedded figure (refPapers/latex_papers/figures/fig10_1.png,
#   400 DPI crop, 1300x1950 px covering both panels). Pixel calibration:
#   R: px = 0.8577198*R + 146.4835 (shared x-axis, both panels).
#   F (panel a): px = -216.6477*F + 877.6136. F (panel b): px = -215.5000*F + 1814.9545.
# Conventions: x = R = sqrt(Re_x); y = F*1e4, F = omega/R = alpha*c_r/R.
# Method: programmatic pixel-curve tracing (threshold + connected-component text
#   removal + column/row continuity tracing with column-monotonicity and
#   direction-cosine guards to avoid hopping onto neighboring loops or leader-line
#   arrow stubs). Supersedes the prior digitization, which did not track either
#   the upper (cutoff) or lower (onset) branch of this loop faithfully (a single
#   ambiguous line cutting across the loop). This file lists BOTH branches
#   sequentially: first the branch with the LOWER F at a given R (onset), then
#   the branch with the HIGHER F (cutoff) -- both blocks share the same x,y
#   column convention as before, just now genuinely tracking the loop ink.
# Digitization uncertainty: dR ~ +/-10-15, dF ~ +/-0.03-0.06 in F*1e4 typical;
#   larger (~10-15%) where the 3 loops visually bundle together at high R.
x,y
146.337401,3.709310
183.645623,2.038395
227.949137,1.267558
271.086769,0.886756
308.394991,0.688277
342.205567,0.556727
372.518497,0.473643
402.831428,0.404406
433.144358,0.372095
464.623170,0.325938
494.936101,0.289011
525.249031,0.265932
555.561962,0.242853
585.874892,0.219774
617.353704,0.196696
647.666635,0.187464
677.979565,0.164385
708.292495,0.187464
738.605426,0.162077
768.918356,0.138998
800.397169,0.134382
830.710099,0.127459
861.023029,0.127459
891.335960,0.118227
921.648890,0.104380
953.127703,0.099764
983.440633,0.088224
1013.753563,0.081301
1044.066494,0.069761
1074.379424,0.076685
1104.692355,0.069761
1136.171167,0.062838
1166.484097,0.062838
1196.797028,0.058222
160.327984,3.884710
206.963262,3.123105
246.603248,2.592290
293.238525,2.098400
328.797924,1.798374
361.442619,1.592971
398.750841,1.392185
434.310240,1.249095
463.457288,1.142932
492.604337,1.050616
522.917267,0.958301
552.064316,0.889064
581.211364,0.819827
610.358413,0.769053
639.505461,0.727511
668.652510,0.660582
697.799558,0.619040
728.112488,0.579806
757.259537,0.542880
786.406585,0.510569
815.553634,0.487490
844.700682,0.469027
873.847731,0.445948
902.994779,0.422869
933.307710,0.404406
962.454758,0.388251
991.601806,0.372095
1020.748855,0.349017
1049.895903,0.335169
1079.042952,0.325938
1109.355882,0.312090
1138.502931,0.289011
1167.649979,0.279780
1196.797028,0.275164
