# Mack (1984) Fig 10.1(a), M1=1.6, NUMERICAL INTEGRATION DUNN-LIN EQUATIONS neutral loop (middle of 3 curves).
# Re-digitized 2026-07-02 from AGARD-R-709 embedded figure (refPapers/latex_papers/figures/fig10_1.png,
#   400 DPI crop, 1300x1950 px covering both panels). Pixel calibration:
#   R: px = 0.8577198*R + 146.4835 (shared x-axis, both panels).
#   F (panel a): px = -216.6477*F + 877.6136. F (panel b): px = -215.5000*F + 1814.9545.
# Conventions: x = R = sqrt(Re_x); y = F*1e4, F = omega/R = alpha*c_r/R.
# Method: programmatic pixel-curve tracing (threshold + connected-component text
#   removal + column/row continuity tracing with column-monotonicity and
#   direction-cosine guards to avoid hopping onto neighboring loops or leader-line
#   arrow stubs). Supersedes the prior digitization, which did not track either
#   the upper (cutoff) or lower (onset) branch of this loop faithfully (a single
#   ambiguous line cutting across the loop). This file lists BOTH branches
#   sequentially: first the branch with the LOWER F at a given R (onset), then
#   the branch with the HIGHER F (cutoff) -- both blocks share the same x,y
#   column convention as before, just now genuinely tracking the loop ink.
# Digitization uncertainty: dR ~ +/-10-15, dF ~ +/-0.03-0.06 in F*1e4 typical;
#   larger (~10-15%) where the 3 loops visually bundle together at high R.
x,y
223.285609,2.287648
259.427949,1.350643
304.897345,0.928298
339.873803,0.745974
369.603792,0.625964
397.584959,0.533648
426.732007,0.464411
454.713174,0.418253
483.860222,0.383635
511.841389,0.337477
540.988437,0.300551
568.969604,0.289011
596.950770,0.256701
626.097819,0.238238
654.078985,0.215159
683.226034,0.203619
711.207200,0.187464
740.354249,0.162077
768.335415,0.138998
797.482464,0.129767
825.463630,0.127459
854.610679,0.127459
882.591845,0.118227
910.573012,0.104380
939.720060,0.104380
967.701227,0.095148
996.848275,0.081301
1024.829442,0.076685
1053.976490,0.076685
1081.957657,0.069761
1111.104705,0.062838
1139.085872,0.062838
1168.232920,0.062838
1196.214087,0.058222
222.119727,2.398426
257.096185,2.283032
300.233817,1.950695
336.376157,1.763756
359.110855,1.609127
393.504372,1.419879
427.314948,1.260635
459.376702,1.156779
488.523750,1.057540
518.836680,0.972148
546.817847,0.895987
574.799013,0.838290
603.946062,0.787516
631.927228,0.741359
659.908395,0.669814
687.889562,0.637503
715.870728,0.589038
745.017776,0.556727
772.998943,0.533648
800.980110,0.496722
828.961276,0.473643
856.942443,0.457488
886.089491,0.441332
914.070658,0.418253
942.051824,0.399790
970.032991,0.381327
999.180039,0.358248
1027.161206,0.349017
1055.142372,0.335169
1083.123539,0.319014
1111.104705,0.307474
1140.251754,0.289011
1168.232920,0.279780
1196.214087,0.272856
