x,y
2.000000000000000000e+00,-1.550000000000000044e+00
4.000000000000000000e+00,-1.949999999999999956e+00
6.000000000000000000e+00,-2.450000000000000178e+00
7.500000000000000000e+00,-5.500000000000000444e-01
9.000000000000000000e+00,-2.649999999999999911e+00
1.100000000000000000e+01,-2.250000000000000000e+00
1.300000000000000000e+01,-1.949999999999999956e+00
1.500000000000000000e+01,-1.699999999999999956e+00
1.700000000000000000e+01,-1.550000000000000044e+00
1.900000000000000000e+01,-1.399999999999999911e+00
2.100000000000000000e+01,-1.250000000000000000e+00
2.300000000000000000e+01,-1.149999999999999911e+00
2.500000000000000000e+01,-1.050000000000000044e+00
2.700000000000000000e+01,-2.600000000000000089e+00
2.900000000000000000e+01,-2.549999999999999822e+00
