x,y
2.000000000000000000e+00,3.000000000000000000e+00
4.000000000000000000e+00,5.099999999999999645e+00
6.000000000000000000e+00,5.900000000000000355e+00
8.000000000000000000e+00,6.299999999999999822e+00
1.000000000000000000e+01,6.700000000000000178e+00
1.200000000000000000e+01,6.900000000000000355e+00
1.400000000000000000e+01,7.000000000000000000e+00
1.600000000000000000e+01,6.299999999999999822e+00
1.800000000000000000e+01,4.799999999999999822e+00
2.000000000000000000e+01,3.899999999999999911e+00
2.200000000000000000e+01,3.299999999999999822e+00
2.400000000000000000e+01,2.899999999999999911e+00
2.600000000000000000e+01,2.600000000000000089e+00
2.800000000000000000e+01,2.399999999999999911e+00
