x,y
2.741490,0.028037
3.017479,0.155140
3.293468,0.357872
3.569457,0.506542
3.845446,0.611215
4.121435,0.714019
4.415823,0.749533
4.691812,0.816822
4.967801,0.857944
5.243790,0.904673
5.519779,0.942056
5.814167,0.979439
6.090156,1.007477
6.366145,1.031776
6.642134,1.054206
6.918123,1.063551
7.194112,1.082243
7.488500,1.087850
7.764489,1.095327
8.040478,1.106542
8.316467,1.106542
8.592456,1.114019
8.886845,1.114019
9.162833,1.119626
9.438822,1.119626
9.714811,1.119626
9.990800,1.125234
10.266789,1.119626
10.561178,1.119626
10.892364,1.110280
11.168353,1.114019
11.444342,1.110280
11.720331,1.106542
12.014719,1.095327
12.290708,1.095327
12.566697,1.095327
12.842686,1.087850
13.118675,1.087850
13.394664,1.076636
13.689052,1.072897
13.965041,1.069159
14.241030,1.063551
14.517019,1.057944
14.793008,1.054206
15.087397,1.044860
