x,y
2.741490,0.028037
3.017479,0.155140
3.293468,0.357872
3.569457,0.506542
3.845446,0.611215
4.213431,0.764486
4.489420,0.854206
4.783809,0.917757
5.059798,0.994393
5.335787,1.035514
5.611776,1.082243
5.887764,1.123364
6.163753,1.157009
6.458142,1.188785
6.734131,1.213084
7.010120,1.241121
7.286109,1.263551
7.562098,1.278505
7.838086,1.306542
8.132475,1.319626
8.408464,1.338318
8.684453,1.353271
8.960442,1.357009
9.236431,1.371963
9.512420,1.386916
9.788408,1.390654
10.082797,1.400000
10.358786,1.405607
10.634775,1.413084
10.910764,1.413084
11.186753,1.418692
11.462741,1.424299
11.757130,1.428037
12.033119,1.431776
12.309108,1.431776
12.585097,1.437383
12.861086,1.437383
13.137075,1.437383
13.431463,1.442991
13.707452,1.442991
13.983441,1.437383
14.259430,1.442991
14.535419,1.437383
14.811408,1.433645
15.105796,1.431776
