x,y
2.930638,0.018692
3.261369,0.056075
3.610473,0.099065
3.959577,0.127103
4.308682,0.145794
4.657786,0.160748
5.006890,0.173832
5.355994,0.179439
5.705099,0.179439
6.054203,0.179439
6.403307,0.173832
6.752412,0.168224
7.101516,0.160748
7.450620,0.160748
7.799724,0.149533
8.148829,0.186916
8.497933,0.149533
8.847037,0.145794
9.196141,0.142056
9.545246,0.136449
9.894350,0.130841
10.243454,0.123364
10.592559,0.117757
10.941663,0.112150
11.290767,0.108411
11.621497,0.104673
11.970602,0.099065
12.319706,0.093458
12.668810,0.089720
13.017915,0.085981
13.367019,0.074766
13.716123,0.071028
14.065227,0.050467
14.414332,0.067290
14.763436,0.061682
15.112540,0.061682
15.461644,0.056075
15.810749,0.056075
16.159853,0.052336
16.508957,0.048598
16.858062,0.048598
17.207166,0.042991
17.556270,0.042991
17.905374,0.037383
18.254479,0.037383
18.603583,0.037383
18.952687,0.037383
19.301791,0.037383
19.650896,0.037383
20.000000,0.033645
