x,y
140.900000,0.032714
150.000000,0.043408
175.000000,0.084345
200.000000,0.122069
225.000000,0.163581
250.000000,0.196216
275.000000,0.258999
300.000000,0.416225
325.000000,0.550678
350.000000,0.697883
375.000000,0.843650
400.000000,0.976869
425.000000,1.116937
450.000000,1.232616
475.000000,1.352369
500.000000,1.462256
525.000000,1.572144
550.000000,1.682433
575.000000,1.784116
600.000000,1.865286
650.000000,2.048853
700.000000,2.193646
750.000000,2.320237
800.000000,2.431352
850.000000,2.530406
900.000000,2.609660
950.000000,2.677901
1000.000000,2.749178
1100.000000,2.874504
1200.000000,2.970350
1300.000000,3.065267
1400.000000,3.145164
1500.000000,3.223647
1600.000000,3.291431
1700.000000,3.372801
1800.000000,3.422354
1900.000000,3.487700
1978.000000,3.529300
