lobe,Re,alpha,mode
upper,375,0.0705,first
upper,425,0.0701,first
upper,475,0.0687,first
upper,525,0.0671,first
upper,575,0.0653,first
upper,625,0.0635,first
upper,675,0.062,first
upper,725,0.0604,first
upper,775,0.0588,first
upper,825,0.0572,first
upper,875,0.056,first
upper,925,0.0547,first
upper,975,0.0534,first
upper,1025,0.0523,first
upper,1075,0.0512,first
upper,1125,0.0501,first
upper,1175,0.0491,first
upper,1225,0.0481,first
upper,1275,0.0473,first
upper,1325,0.0464,first
upper,1375,0.0455,first
upper,1425,0.0447,first
upper,1475,0.044,first
upper,1525,0.0432,first
upper,1575,0.0425,first
upper,1625,0.0419,first
upper,1675,0.0412,first
upper,1725,0.0406,first
upper,1775,0.0399,first
upper,1825,0.0394,first
upper,1875,0.0389,first
upper,1925,0.0385,first
upper,1975,0.0377,first
upper,2025,0.0373,first
upper,2075,0.0368,first
upper,2125,0.0363,first
upper,2175,0.0358,first
upper,2225,0.0354,first
upper,2275,0.035,first
upper,2325,0.0345,first
upper,2375,0.0341,first
upper,2425,0.0337,first
upper,2475,0.0333,first
upper,2525,0.0329,first
upper,2575,0.0325,first
upper,2625,0.0323,first
upper,2675,0.0319,first
upper,2725,0.0315,first
upper,2775,0.0312,first
upper,2825,0.031,first
upper,2875,0.0306,first
upper,2925,0.0303,first
upper,2975,0.03,first
upper,3025,0.0297,first
upper,3075,0.0294,first
upper,3125,0.0299,first
upper,3175,0.0289,first
upper,3225,0.0287,first
upper,3275,0.0284,first
upper,3325,0.0281,first
upper,3375,0.0279,first
upper,3425,0.0276,first
upper,3475,0.0274,first
upper,3525,0.0271,first
upper,3575,0.027,first
upper,3625,0.0267,first
upper,3675,0.0265,first
upper,3725,0.0263,first
upper,3775,0.0261,first
upper,3825,0.0259,first
upper,3875,0.0257,first
upper,3925,0.0254,first
upper,3975,0.0253,first
upper,4025,0.0252,first
upper,4075,0.0249,first
upper,4125,0.0248,first
upper,4175,0.0245,first
upper,4225,0.0244,first
upper,4275,0.0242,first
upper,4325,0.024,first
upper,4375,0.0239,first
upper,4425,0.0237,first
upper,4475,0.0236,first
upper,4525,0.0235,first
upper,4575,0.0232,first
upper,4625,0.0231,first
upper,4675,0.0229,first
upper,4725,0.0228,first
upper,4775,0.0227,first
upper,4825,0.0226,first
upper,4875,0.0224,first
upper,4925,0.0223,first
upper,4975,0.0222,first
lower,375,0.048,first
lower,425,0.0406,first
lower,475,0.0359,first
lower,525,0.0313,first
lower,575,0.0284,first
lower,625,0.0261,first
lower,675,0.0243,first
lower,725,0.0225,first
lower,775,0.0211,first
lower,825,0.0198,first
lower,875,0.0187,first
lower,925,0.0178,first
lower,975,0.0169,first
lower,1025,0.0159,first
lower,1075,0.0153,first
lower,1125,0.0147,first
lower,1175,0.014,first
lower,1225,0.0134,first
lower,1275,0.013,first
lower,1325,0.0124,first
lower,1375,0.0119,first
lower,1425,0.0115,first
lower,1475,0.0112,first
lower,1525,0.0108,first
lower,1575,0.0105,first
lower,1625,0.0101,first
lower,1675,0.0099,first
lower,1725,0.0096,first
lower,1775,0.0093,first
lower,1825,0.0091,first
lower,1875,0.0088,first
lower,1925,0.0086,first
lower,1975,0.0084,first
lower,2025,0.0082,first
lower,2075,0.008,first
lower,2125,0.0078,first
lower,2175,0.0076,first
lower,2225,0.0074,first
lower,2275,0.0073,first
lower,2325,0.0071,first
lower,2375,0.007,first
lower,2425,0.0069,first
lower,2475,0.0067,first
lower,2525,0.0065,first
lower,2575,0.0064,first
lower,2625,0.0061,first
lower,2675,0.0061,first
lower,2725,0.006,first
lower,2775,0.0057,first
lower,2825,0.0057,first
lower,2875,0.0056,first
lower,2925,0.0054,first
lower,2975,0.0054,first
lower,3025,0.0053,first
lower,3075,0.0052,first
lower,3125,0.0052,first
lower,3175,0.0051,first
lower,3225,0.0049,first
lower,3275,0.0049,first
lower,3325,0.0048,first
lower,3375,0.0048,first
lower,3425,0.0047,first
lower,3475,0.0046,first
lower,3525,0.0045,first
lower,3575,0.0045,first
lower,3625,0.0044,first
lower,3675,0.0044,first
lower,3725,0.0043,first
lower,3775,0.0043,first
lower,3825,0.0041,first
lower,3875,0.0041,first
lower,3925,0.0041,first
lower,3975,0.004,first
lower,4025,0.004,first
lower,4075,0.0039,first
lower,4125,0.0039,first
lower,4175,0.0039,first
lower,4225,0.0038,first
lower,4275,0.0038,first
lower,4325,0.0038,first
lower,4375,0.0036,first
lower,4425,0.0036,first
lower,4475,0.0036,first
lower,4525,0.0035,first
lower,4575,0.0035,first
lower,4625,0.0035,first
lower,4675,0.0034,first
lower,4725,0.0034,first
lower,4775,0.0034,first
lower,4825,0.0034,first
lower,4875,0.0032,first
lower,4925,0.0032,first
lower,4975,0.0032,first
