Ma,Re_L,alpha_L,c_i,c_r,family
6,300.000000,0.020000,-1.30215239e-02,-1.27925860e-01,TS
6,337.485919,0.020000,-1.45751654e-02,-1.29218776e-01,TS
6,379.655818,0.020000,-1.60210026e-02,-1.30711344e-01,TS
6,427.094976,0.020000,-1.62093263e-02,3.11843258e-01,TS
6,480.461801,0.020000,-1.35580813e-02,3.13536447e-01,TS
6,540.496975,0.020000,-1.12628270e-02,3.14918194e-01,TS
6,608.033727,0.020000,-9.26186604e-03,3.16045796e-01,TS
6,684.009404,0.020000,-7.50255815e-03,3.16962994e-01,TS
6,769.478474,0.020000,-5.94021089e-03,3.17704057e-01,TS
6,865.627167,0.020000,-4.53707446e-03,3.18296249e-01,TS
6,973.789933,0.020000,-3.26145876e-03,3.18761374e-01,TS
6,1095.467968,0.020000,-2.08697620e-03,3.19116798e-01,TS
6,1232.350046,0.020000,-9.91907392e-04,3.19376161e-01,TS
6,1386.335959,0.020000,4.13235356e-05,3.19549907e-01,TS
6,1559.562883,0.020000,1.02658475e-03,3.19645708e-01,TS
6,1754.435043,0.020000,1.97440777e-03,3.19668824e-01,TS
6,1973.657075,0.020000,2.89230740e-03,3.19622412e-01,TS
6,2220.271572,0.020000,3.78505616e-03,3.19507830e-01,TS
6,2497.701306,0.020000,4.65489577e-03,3.19324913e-01,TS
6,2809.796735,0.020000,5.50167083e-03,3.19072280e-01,TS
6,3160.889444,0.020000,6.32286870e-03,3.18747686e-01,TS
6,3555.852262,0.020000,7.11358647e-03,3.18348472e-01,TS
6,4000.166894,0.020000,7.86647862e-03,3.17872159e-01,TS
6,4500.000000,0.020000,8.57177849e-03,3.17317204e-01,TS
6,300.000000,0.027586,-9.04080911e-03,-3.90208159e-01,TS
6,337.485919,0.027586,-8.69133935e-03,-3.90706590e-01,TS
6,379.655818,0.027586,-8.35709349e-03,-3.91206404e-01,TS
6,427.094976,0.027586,-8.03575440e-03,-3.91703008e-01,TS
6,480.461801,0.027586,-7.72568071e-03,-3.92192625e-01,TS
6,540.496975,0.027586,-7.42581694e-03,-3.92672167e-01,TS
6,608.033727,0.027586,-7.13562587e-03,-3.93139164e-01,TS
6,684.009404,0.027586,-6.85501026e-03,-3.93591744e-01,TS
6,769.478474,0.027586,-6.58421223e-03,-3.94028628e-01,TS
6,865.627167,0.027586,-6.32369525e-03,-3.94449107e-01,TS
6,973.789933,0.027586,-6.07402339e-03,-3.94853012e-01,TS
