branch,R,alpha
lower,400.0,0.042270
lower,520.0,0.032088
lower,640.0,0.026292
lower,760.0,0.022356
lower,880.0,0.019473
lower,1000.0,0.017254
lower,1120.0,0.015488
lower,1240.0,0.014049
lower,1360.0,0.012853
lower,1480.0,0.011843
lower,1600.0,0.010979
lower,1720.0,0.010232
lower,1840.0,0.009579
lower,1960.0,0.009004
lower,2080.0,0.008494
lower,2200.0,0.008038
lower,2320.0,0.007628
lower,2440.0,0.007258
lower,2560.0,0.006922
lower,2680.0,0.006616
lower,2800.0,0.006335
lower,2920.0,0.006077
lower,3040.0,0.005840
lower,3160.0,0.005620
lower,3280.0,0.005416
lower,3400.0,0.005226
lower,3520.0,0.005049
lower,3640.0,0.004884
lower,3760.0,0.004729
lower,3880.0,0.004584
lower,4000.0,0.004447
lower,4120.0,0.004318
lower,4240.0,0.004197
lower,4360.0,0.004082
lower,4480.0,0.003973
lower,4600.0,0.003870
lower,4720.0,0.003772
lower,4840.0,0.003679
lower,4960.0,0.003591
upper,400.0,0.070668
upper,520.0,0.067388
upper,640.0,0.063251
upper,760.0,0.059371
upper,880.0,0.055916
upper,1000.0,0.052893
upper,1120.0,0.050144
upper,1240.0,0.047665
upper,1360.0,0.045410
upper,1480.0,0.043340
upper,1600.0,0.041425
upper,1720.0,0.039643
upper,1840.0,0.037975
upper,1960.0,0.036410
upper,2080.0,0.034935
upper,2200.0,0.033545
upper,2320.0,0.032231
upper,2440.0,0.030990
upper,2560.0,0.029817
upper,2680.0,0.028709
upper,2800.0,0.027662
upper,2920.0,0.026674
upper,3040.0,0.025740
upper,3160.0,0.024859
upper,3280.0,0.024027
upper,3400.0,0.023241
upper,3520.0,0.022498
upper,3640.0,0.021797
upper,3760.0,0.021133
upper,3880.0,0.020505
upper,4000.0,0.019911
upper,4120.0,0.019348
upper,4240.0,0.018813
upper,4360.0,0.018306
upper,4480.0,0.017824
upper,4600.0,0.017366
upper,4720.0,0.016929
upper,4840.0,0.016514
upper,4960.0,0.016117
