x,y
2.000000000000000000e+00,1.499999999999999944e-01
3.000000000000000000e+00,7.500000000000000000e-01
4.000000000000000000e+00,1.050000000000000044e+00
5.000000000000000000e+00,1.219999999999999973e+00
6.000000000000000000e+00,1.320000000000000062e+00
8.000000000000000000e+00,1.419999999999999929e+00
1.000000000000000000e+01,1.479999999999999982e+00
1.200000000000000000e+01,1.500000000000000000e+00
1.500000000000000000e+01,1.510000000000000009e+00
1.800000000000000000e+01,1.479999999999999982e+00
2.000000000000000000e+01,1.399999999999999911e+00
