x,y
2.103813,0.297931
2.397795,0.481839
2.691778,0.638161
2.985760,0.730115
3.279743,0.831264
3.573725,0.921379
3.867708,0.994943
4.161690,1.057471
4.455673,1.105287
4.749655,1.145747
5.043638,1.177011
5.337621,1.219310
5.631603,1.243218
5.925586,1.265287
6.219568,1.280000
6.513551,1.298391
6.807533,1.305747
7.101516,1.316782
7.395498,1.325977
7.689481,1.329655
7.983463,1.335172
8.277446,1.338851
8.571429,1.342529
8.865411,1.342529
9.159394,1.353563
9.453376,1.353563
9.747359,1.353563
10.041341,1.357241
10.335324,1.353563
10.629306,1.353563
10.941663,1.353563
11.235645,1.353563
11.529628,1.348046
11.823610,1.357241
12.117593,1.357241
12.411576,1.353563
12.705558,1.353563
12.999541,1.348046
13.293523,1.338851
13.587506,1.335172
13.881488,1.338851
14.175471,1.329655
14.469453,1.325977
14.763436,1.329655
15.057418,1.338851
15.351401,1.320460
15.645384,1.316782
15.939366,1.316782
16.233349,1.316782
16.527331,1.305747
16.821314,1.305747
17.115296,1.305747
17.409279,1.305747
17.703261,1.302069
17.997244,1.292874
18.291226,1.348046
18.585209,1.302069
18.879192,1.302069
19.173174,1.302069
19.540652,1.302069
