Ma,Re_L,alpha_L,c_i
3,300.000000,0.020000,
3,300.000000,0.027586,-2.78349126e-02
3,300.000000,0.035172,
3,300.000000,0.042759,-3.68055836e-02
3,300.000000,0.050345,-1.37099817e-02
3,300.000000,0.057931,-1.98077691e-03
3,300.000000,0.065517,-3.30118293e-02
3,300.000000,0.073103,-3.97960924e-02
3,300.000000,0.080690,-1.69175443e-02
3,300.000000,0.088276,-1.62816596e-02
3,300.000000,0.095862,-1.05244841e-02
3,300.000000,0.103448,-6.77236495e-03
3,300.000000,0.111034,-4.18898279e-03
3,300.000000,0.118621,-2.37312344e-03
3,300.000000,0.126207,-1.12789495e-03
3,300.000000,0.133793,-3.37757067e-04
3,300.000000,0.141379,8.28016031e-05
3,300.000000,0.148966,2.08441538e-04
3,300.000000,0.156552,-6.07448349e-03
3,300.000000,0.164138,-5.08075426e-03
3,300.000000,0.171724,-4.29287024e-03
3,300.000000,0.179310,-3.66582871e-03
3,300.000000,0.186897,-3.17517680e-03
3,300.000000,0.194483,-2.80624915e-03
3,300.000000,0.202069,-2.54824438e-03
3,300.000000,0.209655,-2.39083905e-03
3,300.000000,0.217241,-2.32216108e-03
3,300.000000,0.224828,-2.32790959e-03
3,300.000000,0.232414,-2.39164476e-03
3,300.000000,0.240000,-2.49603264e-03
3,337.485919,0.020000,
3,337.485919,0.027586,-2.75884967e-02
3,337.485919,0.035172,-4.94255947e-02
3,337.485919,0.042759,-3.21834211e-02
3,337.485919,0.050345,-1.03909529e-02
3,337.485919,0.057931,6.10009365e-04
3,337.485919,0.065517,-3.20056655e-02
3,337.485919,0.073103,-3.70102634e-02
3,337.485919,0.080690,-1.60413394e-02
3,337.485919,0.088276,-1.49150333e-02
3,337.485919,0.095862,-9.45673878e-03
3,337.485919,0.103448,-5.84789295e-03
3,337.485919,0.111034,-3.33524135e-03
3,337.485919,0.118621,-1.56923171e-03
3,337.485919,0.126207,-3.80350526e-04
3,337.485919,0.133793,3.35908853e-04
3,337.485919,0.141379,6.64279144e-04
3,337.485919,0.148966,6.86048713e-04
3,337.485919,0.156552,-5.42833546e-03
3,337.485919,0.164138,-4.46080837e-03
3,337.485919,0.171724,-3.68929895e-03
3,337.485919,0.179310,-3.07657922e-03
3,337.485919,0.186897,-2.60360155e-03
3,337.485919,0.194483,-2.25910251e-03
3,337.485919,0.202069,-2.03374458e-03
3,337.485919,0.209655,-1.91652984e-03
3,337.485919,0.217241,-1.89280813e-03
3,337.485919,0.224828,-1.94402664e-03
3,337.485919,0.232414,-2.04915322e-03
3,337.485919,0.240000,-2.18713495e-03
3,379.655818,0.020000,
3,379.655818,0.027586,-2.72160229e-02
3,379.655818,0.035172,-4.82412818e-02
3,379.655818,0.042759,-2.80216385e-02
3,379.655818,0.050345,-7.32219006e-03
3,379.655818,0.057931,3.01232513e-03
3,379.655818,0.065517,-3.09764678e-02
3,379.655818,0.073103,-3.44753759e-02
3,379.655818,0.080690,-1.52109871e-02
3,379.655818,0.088276,-1.36654832e-02
3,379.655818,0.095862,-8.46526032e-03
3,379.655818,0.103448,-4.97361461e-03
3,379.655818,0.111034,-2.51773031e-03
3,379.655818,0.118621,-7.98688318e-04
3,379.655818,0.126207,3.27324831e-04
3,379.655818,0.133793,9.56158238e-04
3,379.655818,0.141379,1.17575696e-03
3,379.655818,0.148966,1.07947079e-03
3,379.655818,0.156552,-4.82699327e-03
3,379.655818,0.164138,-3.87962479e-03
3,379.655818,0.171724,-3.12104587e-03
3,379.655818,0.179310,-2.52207525e-03
3,379.655818,0.186897,-2.06924808e-03
3,379.655818,0.194483,-1.75456155e-03
3,379.655818,0.202069,-1.56929890e-03
3,379.655818,0.209655,-1.50011589e-03
3,379.655818,0.217241,-1.52748052e-03
3,379.655818,0.224828,-1.62680362e-03
3,379.655818,0.232414,-1.77168499e-03
3,379.655818,0.240000,-1.93783003e-03
3,427.094976,0.020000,
3,427.094976,0.027586,-2.67402044e-02
3,427.094976,0.035172,-4.69507218e-02
3,427.094976,0.042759,-2.42413449e-02
3,427.094976,0.050345,-4.46509826e-03
3,427.094976,0.057931,5.23941920e-03
3,427.094976,0.065517,-2.99336675e-02
3,427.094976,0.073103,-3.21624194e-02
3,427.094976,0.080690,-1.44237723e-02
3,427.094976,0.088276,-1.25175019e-02
3,427.094976,0.095862,-7.53831608e-03
3,427.094976,0.103448,-4.14036603e-03
3,427.094976,0.111034,-1.73027085e-03
3,427.094976,0.118621,-5.91691559e-05
3,427.094976,0.126207,9.92818416e-04
3,427.094976,0.133793,1.51630035e-03
3,427.094976,0.141379,1.60846255e-03
3,427.094976,0.148966,1.38180483e-03
3,427.094976,0.156552,-4.26429059e-03
3,427.094976,0.164138,-3.33169885e-03
3,427.094976,0.171724,-2.58360057e-03
3,427.094976,0.179310,-1.99929075e-03
3,427.094976,0.186897,-1.57110154e-03
3,427.094976,0.194483,-1.29382944e-03
3,427.094976,0.202069,-1.15778036e-03
3,427.094976,0.209655,-1.14471269e-03
3,427.094976,0.217241,-1.22762086e-03
3,427.094976,0.224828,-1.37436748e-03
3,427.094976,0.232414,-1.55338713e-03
3,427.094976,0.240000,-1.73882880e-03
3,480.461801,0.020000,
3,480.461801,0.027586,-2.61809613e-02
3,480.461801,0.035172,-4.55845456e-02
3,480.461801,0.042759,-2.07763217e-02
3,480.461801,0.050345,-1.78954055e-03
3,480.461801,0.057931,7.29863621e-03
3,480.461801,0.065517,-2.88851876e-02
3,480.461801,0.073103,-3.00464803e-02
3,480.461801,0.080690,-1.36771761e-02
3,480.461801,0.088276,-1.14577153e-02
3,480.461801,0.095862,-6.66561962e-03
3,480.461801,0.103448,-3.34029864e-03
3,480.461801,0.111034,-9.68299786e-04
3,480.461801,0.118621,6.49429645e-04
3,480.461801,0.126207,1.61103977e-03
3,480.461801,0.133793,2.00726773e-03
3,480.461801,0.141379,1.95319651e-03
3,480.461801,0.148966,1.58877881e-03
3,480.461801,0.156552,1.05863107e-03
3,480.461801,0.164138,-2.81223193e-03
3,480.461801,0.171724,-2.07337841e-03
3,480.461801,0.179310,-1.50650133e-03
