Re_L,branch,alpha_neutral_pymack,status
450.0000,lower,0.060089,ok
450.0000,upper,0.113347,ok
650.0000,lower,0.056141,ok
650.0000,upper,0.148902,ok
850.0000,lower,0.026246,ok
850.0000,upper,0.155465,ok
1050.0000,lower,0.025444,ok
1050.0000,upper,0.158700,ok
1250.0000,lower,0.024786,ok
1250.0000,upper,0.163326,ok
1450.0000,lower,0.024238,ok
1450.0000,upper,0.165461,ok
1650.0000,lower,0.023763,ok
1650.0000,upper,0.166324,ok
1850.0000,lower,0.023343,ok
1850.0000,upper,0.167081,ok
2050.0000,lower,0.022964,ok
2050.0000,upper,0.169539,ok
2250.0000,lower,0.022614,ok
2250.0000,upper,0.175495,ok
2450.0000,lower,0.022289,ok
2450.0000,upper,0.178207,ok
2650.0000,lower,0.021981,ok
2650.0000,upper,0.186800,ok
2850.0000,lower,0.021681,ok
2850.0000,upper,0.195165,ok
3050.0000,lower,0.021392,ok
3050.0000,upper,0.200515,ok
3250.0000,lower,0.021105,ok
3250.0000,upper,0.202446,ok
3450.0000,lower,0.020822,ok
3450.0000,upper,0.202964,ok
3650.0000,lower,0.020537,ok
3650.0000,upper,0.203455,ok
3850.0000,lower,0.020250,ok
3850.0000,upper,0.203916,ok
4050.0000,lower,0.045601,ok
4050.0000,upper,0.204366,ok
4250.0000,lower,0.045424,ok
4250.0000,upper,0.204791,ok
