x,y
2.000000000000000000e+00,2.999999999999999889e-01
3.000000000000000000e+00,9.000000000000000222e-01
4.000000000000000000e+00,1.350000000000000089e+00
5.000000000000000000e+00,1.550000000000000044e+00
6.000000000000000000e+00,1.649999999999999911e+00
8.000000000000000000e+00,1.750000000000000000e+00
1.000000000000000000e+01,1.800000000000000044e+00
1.200000000000000000e+01,1.820000000000000062e+00
1.500000000000000000e+01,1.850000000000000089e+00
1.800000000000000000e+01,1.820000000000000062e+00
2.000000000000000000e+01,1.780000000000000027e+00
