Re_L,alpha_digitized,alpha_pymack_ci_level,crossing_dir,rel_err_alpha,c_i_level
700.0000,0.065000,,,,0.0040
900.0000,0.105000,0.115752,1,0.102402,0.0040
1100.0000,0.135000,0.143200,-1,0.060739,0.0040
1300.0000,0.155000,0.141191,-1,0.089088,0.0040
1500.0000,0.165000,0.139062,-1,0.157202,0.0040
1700.0000,0.168000,0.137060,-1,0.184165,0.0040
1900.0000,0.165000,0.135085,-1,0.181301,0.0040
2100.0000,0.158000,0.133188,-1,0.157035,0.0040
2300.0000,0.148000,0.131672,-1,0.110327,0.0040
2500.0000,0.135000,0.130257,-1,0.035134,0.0040
2700.0000,0.120000,0.128901,-1,0.074173,0.0040
2900.0000,0.105000,0.091114,1,0.132243,0.0040
3100.0000,0.090000,0.090224,1,0.002485,0.0040
3300.0000,0.078000,0.089368,1,0.145750,0.0040
3500.0000,0.068000,0.088522,1,0.301794,0.0040
3700.0000,0.060000,0.087912,1,0.465208,0.0040
3900.0000,0.054000,0.087423,1,0.618938,0.0040
4100.0000,0.049000,0.086967,1,0.774840,0.0040
4300.0000,0.045000,0.086541,1,0.923134,0.0040
4500.0000,0.042000,0.086131,1,1.050740,0.0040
