Re_L,branch,alpha_neutral_pymack,status
600.0000,lower,0.116870,ok
600.0000,upper,0.170427,ok
800.0000,lower,0.107825,ok
800.0000,upper,0.168814,ok
1000.0000,lower,0.102380,ok
1000.0000,upper,0.165392,ok
1200.0000,lower,0.098975,ok
1200.0000,upper,0.162267,ok
1400.0000,lower,0.096031,ok
1400.0000,upper,0.159709,ok
1600.0000,lower,0.094130,ok
1600.0000,upper,0.157493,ok
1800.0000,lower,0.092526,ok
1800.0000,upper,0.156055,ok
2000.0000,lower,0.091105,ok
2000.0000,upper,0.155442,ok
2200.0000,lower,0.089819,ok
2200.0000,upper,0.155448,ok
2400.0000,lower,0.088633,ok
2400.0000,upper,0.156181,ok
2600.0000,lower,0.087707,ok
2600.0000,upper,0.157771,ok
2800.0000,lower,0.086943,ok
2800.0000,upper,0.159827,ok
3000.0000,lower,0.086254,ok
3000.0000,upper,0.161804,ok
3200.0000,lower,0.085619,ok
3200.0000,upper,0.163582,ok
3400.0000,lower,0.085036,ok
3400.0000,upper,0.165105,ok
3600.0000,lower,0.084491,ok
3600.0000,upper,0.166482,ok
3800.0000,lower,0.083984,ok
3800.0000,upper,0.167572,ok
4000.0000,lower,0.083503,ok
4000.0000,upper,0.168584,ok
4200.0000,lower,0.083053,ok
4200.0000,upper,0.169387,ok
4400.0000,lower,0.082621,ok
4400.0000,upper,0.170148,ok
