Ma,Re_L,alpha_L,c_i
4,300.000000,0.020000,
4,300.000000,0.027586,-1.44830769e-02
4,300.000000,0.035172,-3.28625779e-02
4,300.000000,0.042759,-1.40114340e-02
4,300.000000,0.050345,-1.41822195e-02
4,300.000000,0.057931,-4.79044678e-03
4,300.000000,0.065517,-2.66222696e-04
4,300.000000,0.073103,-1.14668828e-02
4,300.000000,0.080690,-6.53990938e-03
4,300.000000,0.088276,-3.83665439e-03
4,300.000000,0.095862,-2.13983000e-03
4,300.000000,0.103448,-1.04734504e-03
4,300.000000,0.111034,-3.93387113e-04
4,300.000000,0.118621,-4.21964589e-03
4,300.000000,0.126207,-3.33707037e-03
4,300.000000,0.133793,-2.69669225e-03
4,300.000000,0.141379,-2.24913944e-03
4,300.000000,0.148966,-1.96405663e-03
4,300.000000,0.156552,-1.81557331e-03
4,300.000000,0.164138,-3.87987327e-03
4,300.000000,0.171724,-3.54986732e-03
4,300.000000,0.179310,-3.31239130e-03
4,300.000000,0.186897,-3.15669816e-03
4,300.000000,0.194483,-3.07069121e-03
4,300.000000,0.202069,-3.03998775e-03
4,300.000000,0.209655,-4.43298129e-03
4,300.000000,0.217241,-4.28460023e-03
4,300.000000,0.224828,-4.18364414e-03
4,300.000000,0.232414,-4.12210293e-03
4,300.000000,0.240000,-4.09074793e-03
4,337.485919,0.020000,
4,337.485919,0.027586,-1.45228312e-02
4,337.485919,0.035172,-3.30756190e-02
4,337.485919,0.042759,-1.35686832e-02
4,337.485919,0.050345,-1.24703420e-02
4,337.485919,0.057931,-3.62538299e-03
4,337.485919,0.065517,6.94152001e-04
4,337.485919,0.073103,-1.03988385e-02
4,337.485919,0.080690,-5.77901822e-03
4,337.485919,0.088276,-3.19084510e-03
4,337.485919,0.095862,-1.54924890e-03
4,337.485919,0.103448,-5.05497430e-04
4,337.485919,0.111034,8.77191695e-05
4,337.485919,0.118621,-3.64742357e-03
4,337.485919,0.126207,-2.79391872e-03
4,337.485919,0.133793,-2.18078913e-03
4,337.485919,0.141379,-1.76642306e-03
4,337.485919,0.148966,-1.52290581e-03
4,337.485919,0.156552,-1.42206912e-03
4,337.485919,0.164138,-3.32298643e-03
4,337.485919,0.171724,-3.01763792e-03
4,337.485919,0.179310,-2.80969479e-03
4,337.485919,0.186897,-2.68767320e-03
4,337.485919,0.194483,-2.63658298e-03
4,337.485919,0.202069,-2.63814371e-03
4,337.485919,0.209655,-3.85566436e-03
4,337.485919,0.217241,-3.73420260e-03
4,337.485919,0.224828,-3.66114844e-03
4,337.485919,0.232414,-3.62611150e-03
4,337.485919,0.240000,-3.61762731e-03
4,379.655818,0.020000,
4,379.655818,0.027586,-1.44819460e-02
4,379.655818,0.035172,-3.30828883e-02
4,379.655818,0.042759,-1.31250821e-02
4,379.655818,0.050345,-1.09352484e-02
4,379.655818,0.057931,-2.54547866e-03
4,379.655818,0.065517,1.59382740e-03
4,379.655818,0.073103,-9.43426715e-03
4,379.655818,0.080690,-5.07976544e-03
4,379.655818,0.088276,-2.58646056e-03
4,379.655818,0.095862,-9.92847714e-04
4,379.655818,0.103448,-1.19095618e-07
4,379.655818,0.111034,5.23363719e-04
4,379.655818,0.118621,-3.11703062e-03
4,379.655818,0.126207,-2.28896672e-03
4,379.655818,0.133793,-1.70373496e-03
4,379.655818,0.141379,-1.32694423e-03
4,379.655818,0.148966,-1.13146669e-03
4,379.655818,0.156552,-1.08376178e-03
4,379.655818,0.164138,-2.81336682e-03
4,379.655818,0.171724,-2.53498988e-03
4,379.655818,0.179310,-2.36038283e-03
4,379.655818,0.186897,-2.27568766e-03
4,379.655818,0.194483,-2.26120620e-03
4,379.655818,0.202069,-2.29377650e-03
4,379.655818,0.209655,-3.33920944e-03
4,379.655818,0.217241,-3.24695227e-03
4,379.655818,0.224828,-3.20293780e-03
4,379.655818,0.232414,-3.19365293e-03
4,379.655818,0.240000,-3.20541097e-03
4,427.094976,0.020000,
4,427.094976,0.027586,-1.03881574e-02
4,427.094976,0.035172,-3.29123316e-02
4,427.094976,0.042759,-1.26823058e-02
4,427.094976,0.050345,-9.54655690e-03
4,427.094976,0.057931,-1.53439082e-03
4,427.094976,0.065517,2.43985987e-03
4,427.094976,0.073103,-8.55907092e-03
4,427.094976,0.080690,-4.43255462e-03
4,427.094976,0.088276,-2.01648985e-03
4,427.094976,0.095862,-4.66421129e-04
4,427.094976,0.103448,4.69587025e-04
4,427.094976,0.111034,9.11070690e-04
4,427.094976,0.118621,-2.62262029e-03
4,427.094976,0.126207,-1.81778797e-03
4,427.094976,0.133793,-1.26302755e-03
4,427.094976,0.141379,-9.30325187e-04
4,427.094976,0.148966,-7.90463229e-04
4,427.094976,0.156552,-8.00341775e-04
4,427.094976,0.164138,-2.34711181e-03
4,427.094976,0.171724,-2.09949434e-03
4,427.094976,0.179310,-1.96297348e-03
4,427.094976,0.186897,-1.91895505e-03
4,427.094976,0.194483,-1.94113733e-03
4,427.094976,0.202069,-2.00121406e-03
4,427.094976,0.209655,-2.88030035e-03
4,427.094976,0.217241,-2.81945266e-03
4,427.094976,0.224828,-2.80460928e-03
4,427.094976,0.232414,-2.81878587e-03
4,427.094976,0.240000,-2.84672560e-03
4,480.461801,0.020000,
4,480.461801,0.027586,-6.33169873e-03
4,480.461801,0.035172,-3.25906363e-02
4,480.461801,0.042759,-1.22418548e-02
4,480.461801,0.050345,-8.27884606e-03
4,480.461801,0.057931,-5.78840077e-04
4,480.461801,0.065517,3.23639252e-03
4,480.461801,0.073103,-7.76115349e-03
4,480.461801,0.080690,-3.82903260e-03
4,480.461801,0.088276,-1.47508740e-03
4,480.461801,0.095862,3.28108639e-05
4,480.461801,0.103448,9.02519650e-04
4,480.461801,0.111034,1.24686588e-03
4,480.461801,0.118621,-2.15916831e-03
4,480.461801,0.126207,-1.37699707e-03
4,480.461801,0.133793,-8.57558256e-04
4,480.461801,0.141379,-5.77546645e-04
4,480.461801,0.148966,-5.01041053e-04
4,480.461801,0.156552,-5.70440111e-04
4,480.461801,0.164138,-1.92162277e-03
4,480.461801,0.171724,-1.71003283e-03
4,480.461801,0.179310,-1.61674518e-03
4,480.461801,0.186897,-1.61545633e-03
4,480.461801,0.194483,-1.67187005e-03
4,480.461801,0.202069,-1.75353906e-03
4,480.461801,0.209655,-2.47654260e-03
4,480.461801,0.217241,-2.44851893e-03
4,480.461801,0.224828,-2.46130407e-03
4,480.461801,0.232414,-2.49487141e-03
4,480.461801,0.240000,-2.53377992e-03
4,540.496975,0.020000,
4,540.496975,0.027586,-2.65803569e-03
4,540.496975,0.035172,-3.21422804e-02
4,540.496975,0.042759,-1.18049960e-02
4,540.496975,0.050345,-7.11073544e-03
4,540.496975,0.057931,3.31637309e-04
4,540.496975,0.065517,3.98459776e-03
4,540.496975,0.073103,-7.03005711e-03
4,540.496975,0.080690,-3.26190006e-03
4,540.496975,0.088276,-9.57497811e-04
4,540.496975,0.095862,5.06116812e-04
4,540.496975,0.103448,1.29565496e-03
4,540.496975,0.111034,1.52595829e-03
4,540.496975,0.118621,-1.72246386e-03
4,540.496975,0.126207,-9.64344540e-04
4,540.496975,0.133793,-4.87695240e-04
4,540.496975,0.141379,-2.70644844e-04
4,540.496975,0.148966,-2.63934620e-04
4,540.496975,0.156552,-3.90749383e-04
4,540.496975,0.164138,-1.53566065e-03
4,540.496975,0.171724,-1.36660043e-03
4,540.496975,0.179310,-1.32115495e-03
4,540.496975,0.186897,-1.36221708e-03
4,540.496975,0.194483,-1.44743644e-03
4,540.496975,0.202069,-1.54281990e-03
4,540.496975,0.209655,-2.12599022e-03
4,540.496975,0.217241,-2.13057308e-03
4,540.496975,0.224828,-2.16730439e-03
4,540.496975,0.232414,-2.21460073e-03
4,540.496975,0.240000,-2.25876744e-03
4,608.033727,0.020000,
4,608.033727,0.027586,6.88135043e-04
4,608.033727,0.035172,-3.15891246e-02
4,608.033727,0.042759,-1.13727316e-02
4,608.033727,0.050345,-6.02415682e-03
4,608.033727,0.057931,1.20488506e-03
4,608.033727,0.065517,4.68259480e-03
4,608.033727,0.073103,-6.35667816e-03
4,608.033727,0.080690,-2.72477339e-03
4,608.033727,0.088276,-4.60035887e-04
4,608.033727,0.095862,9.53102238e-04
4,608.033727,0.103448,1.64419115e-03
4,608.033727,0.111034,1.74379663e-03
4,608.033727,0.118621,-1.30915144e-03
4,608.033727,0.126207,-5.78865163e-04
4,608.033727,0.133793,-1.55283918e-04
4,608.033727,0.141379,-1.21413223e-05
4,608.033727,0.148966,-7.84725116e-05
4,608.033727,0.156552,-2.55446222e-04
4,608.033727,0.164138,-1.18932314e-03
4,608.033727,0.171724,-1.06989430e-03
4,608.033727,0.179310,-1.07507442e-03
4,608.033727,0.186897,-1.15470134e-03
4,608.033727,0.194483,-1.26045453e-03
4,608.033727,0.202069,-1.36076996e-03
4,608.033727,0.209655,-1.82651192e-03
4,608.033727,0.217241,-1.86108995e-03
4,608.033727,0.224828,-1.91592828e-03
4,608.033727,0.232414,-1.97037478e-03
4,608.033727,0.240000,-2.01445436e-03
4,684.009404,0.020000,
4,684.009404,0.027586,3.75048799e-03
4,684.009404,0.035172,-3.09503545e-02
4,684.009404,0.042759,-1.09458118e-02
4,684.009404,0.050345,-5.00377816e-03
4,684.009404,0.057931,2.04626026e-03
4,684.009404,0.065517,5.32542302e-03
4,684.009404,0.073103,-5.73304863e-03
4,684.009404,0.080690,-2.21209616e-03
4,684.009404,0.088276,1.98686968e-05
4,684.009404,0.095862,1.37153068e-03
4,684.009404,0.103448,1.94197744e-03
4,684.009404,0.111034,1.89744471e-03
4,684.009404,0.118621,-9.16818598e-04
4,684.009404,0.126207,-2.21044035e-04
4,684.009404,0.133793,1.36535053e-04
4,684.009404,0.141379,1.95825916e-04
4,684.009404,0.148966,5.83721528e-05
4,684.009404,0.156552,-1.56198810e-04
4,684.009404,0.164138,-8.83868921e-04
4,684.009404,0.171724,-8.20649562e-04
4,684.009404,0.179310,-8.75976547e-04
4,684.009404,0.186897,-9.86562420e-04
4,684.009404,0.194483,-1.10268192e-03
4,684.009404,0.202069,-1.19965109e-03
4,684.009404,0.209655,-1.57510128e-03
4,684.009404,0.217241,-1.63429246e-03
4,684.009404,0.224828,-1.69982594e-03
4,684.009404,0.232414,-1.75493813e-03
4,684.009404,0.240000,-1.79474911e-03
4,769.478474,0.020000,-4.50382374e-02
4,769.478474,0.027586,6.56280331e-03
4,769.478474,0.035172,-3.02426330e-02
4,769.478474,0.042759,-1.05247970e-02
4,769.478474,0.050345,-4.03655574e-03
4,769.478474,0.057931,2.85868992e-03
4,769.478474,0.065517,5.90519045e-03
4,769.478474,0.073103,-5.15217015e-03
4,769.478474,0.080690,-1.71909464e-03
4,769.478474,0.088276,4.83556005e-04
4,769.478474,0.095862,1.75719255e-03
4,769.478474,0.103448,2.18232417e-03
4,769.478474,0.111034,1.98708451e-03
4,769.478474,0.118621,-5.44122908e-04
4,769.478474,0.126207,1.07063200e-04
4,769.478474,0.133793,3.83793142e-04
4,769.478474,0.141379,3.52601111e-04
4,769.478474,0.148966,1.52572217e-04
4,769.478474,0.156552,-8.29120752e-05
4,769.478474,0.164138,-6.21313587e-04
4,769.478474,0.171724,-6.18764680e-04
4,769.478474,0.179310,-7.19314161e-04
4,769.478474,0.186897,-8.49940228e-04
4,769.478474,0.194483,-9.65955739e-04
4,769.478474,0.202069,-1.05312234e-03
4,769.478474,0.209655,-1.36732739e-03
4,769.478474,0.217241,-1.44327083e-03
4,769.478474,0.224828,-1.51162719e-03
4,769.478474,0.232414,-1.56204990e-03
4,769.478474,0.240000,-1.59506216e-03
4,865.627167,0.020000,-4.00114803e-02
4,865.627167,0.027586,9.15036746e-03
4,865.627167,0.035172,-2.94803657e-02
4,865.627167,0.042759,-1.01101623e-02
4,865.627167,0.050345,-3.11140081e-03
4,865.627167,0.057931,3.64263850e-03
4,865.627167,0.065517,6.41152713e-03
4,865.627167,0.073103,-4.60788699e-03
4,865.627167,0.080690,-1.24176909e-03
4,865.627167,0.088276,9.30952544e-04
4,865.627167,0.095862,2.10393260e-03
4,865.627167,0.103448,2.35923040e-03
4,865.627167,0.111034,2.01729888e-03
4,865.627167,0.118621,-1.90945726e-04
4,865.627167,0.126207,4.01841524e-04
4,865.627167,0.133793,5.82512646e-04
4,865.627167,0.141379,4.60126974e-04
4,865.627167,0.148966,2.12955528e-04
4,865.627167,0.156552,-2.50948832e-05
4,865.627167,0.164138,-4.03749601e-04
4,865.627167,0.171724,-4.62376578e-04
4,865.627167,0.179310,-5.98373717e-04
4,865.627167,0.186897,-7.36312075e-04
4,865.627167,0.194483,-8.43217015e-04
4,865.627167,0.202069,-9.16764146e-04
4,865.627167,0.209655,-1.19715990e-03
4,865.627167,0.217241,-1.28056192e-03
4,865.627167,0.224828,-1.34472681e-03
