Ma,Re_L,alpha_L,c_i,c_r,family
2,300.000000,0.020000,nan,nan,
2,337.485919,0.020000,nan,nan,
2,379.655818,0.020000,nan,nan,
2,427.094976,0.020000,nan,nan,
2,480.461801,0.020000,nan,nan,
2,540.496975,0.020000,nan,nan,
2,608.033727,0.020000,nan,nan,
2,684.009404,0.020000,nan,nan,
2,769.478474,0.020000,nan,nan,
2,865.627167,0.020000,nan,nan,
2,973.789933,0.020000,nan,nan,
2,1095.467968,0.020000,nan,nan,
2,1232.350046,0.020000,nan,nan,
2,1386.335959,0.020000,nan,nan,
2,1559.562883,0.020000,nan,nan,
2,1754.435043,0.020000,nan,nan,
2,1973.657075,0.020000,nan,nan,
2,2220.271572,0.020000,nan,nan,
2,2497.701306,0.020000,nan,nan,
2,2809.796735,0.020000,nan,nan,
2,3160.889444,0.020000,nan,nan,
2,3555.852262,0.020000,nan,nan,
2,4000.166894,0.020000,nan,nan,
2,4500.000000,0.020000,-4.93299675e-02,-2.92227466e-02,TS
2,300.000000,0.027586,nan,nan,
2,337.485919,0.027586,nan,nan,
2,379.655818,0.027586,nan,nan,
2,427.094976,0.027586,nan,nan,
2,480.461801,0.027586,nan,nan,
2,540.496975,0.027586,nan,nan,
2,608.033727,0.027586,nan,nan,
2,684.009404,0.027586,nan,nan,
2,769.478474,0.027586,nan,nan,
2,865.627167,0.027586,nan,nan,
2,973.789933,0.027586,nan,nan,
2,1095.467968,0.027586,nan,nan,
2,1232.350046,0.027586,nan,nan,
2,1386.335959,0.027586,nan,nan,
2,1559.562883,0.027586,nan,nan,
2,1754.435043,0.027586,nan,nan,
2,1973.657075,0.027586,nan,nan,
2,2220.271572,0.027586,nan,nan,
2,2497.701306,0.027586,nan,nan,
2,2809.796735,0.027586,nan,nan,
2,3160.889444,0.027586,-4.89474448e-02,-1.95727297e-02,TS
2,3555.852262,0.027586,-4.67621737e-02,-2.26877615e-02,TS
2,4000.166894,0.027586,-4.46736534e-02,-2.56692200e-02,TS
2,4500.000000,0.027586,-4.26767138e-02,-2.85220167e-02,TS
2,300.000000,0.035172,nan,nan,
2,337.485919,0.035172,nan,nan,
2,379.655818,0.035172,nan,nan,
2,427.094976,0.035172,nan,nan,
2,480.461801,0.035172,nan,nan,
2,540.496975,0.035172,nan,nan,
2,608.033727,0.035172,nan,nan,
2,684.009404,0.035172,nan,nan,
2,769.478474,0.035172,nan,nan,
2,865.627167,0.035172,nan,nan,
2,973.789933,0.035172,nan,nan,
2,1095.467968,0.035172,nan,nan,
2,1232.350046,0.035172,nan,nan,
2,1386.335959,0.035172,nan,nan,
2,1559.562883,0.035172,nan,nan,
2,1754.435043,0.035172,nan,nan,
2,1973.657075,0.035172,nan,nan,
2,2220.271572,0.035172,-4.94380428e-02,-4.22467017e-03,TS
2,2497.701306,0.035172,-4.72466148e-02,-7.35686649e-03,TS
2,2809.796735,0.035172,-4.51550261e-02,-1.03582163e-02,TS
2,3160.889444,0.035172,-4.31575416e-02,-1.32335014e-02,TS
2,3555.852262,0.035172,-4.12488897e-02,-1.59873382e-02,TS
2,4000.166894,0.035172,-3.94242119e-02,-1.86241671e-02,TS
2,4500.000000,0.035172,-3.76790344e-02,-2.11482444e-02,TS
2,300.000000,0.042759,nan,nan,
2,337.485919,0.042759,nan,nan,
2,379.655818,0.042759,nan,nan,
2,427.094976,0.042759,nan,nan,
2,480.461801,0.042759,nan,nan,
2,540.496975,0.042759,nan,nan,
2,608.033727,0.042759,nan,nan,
2,684.009404,0.042759,nan,nan,
2,769.478474,0.042759,nan,nan,
2,865.627167,0.042759,nan,nan,
2,973.789933,0.042759,nan,nan,
2,1095.467968,0.042759,nan,nan,
2,1232.350046,0.042759,nan,nan,
2,1386.335959,0.042759,nan,nan,
2,1559.562883,0.042759,-4.98901731e-02,1.64753210e-02,TS
2,1754.435043,0.042759,-4.76794960e-02,1.33480296e-02,TS
2,1973.657075,0.042759,-4.55752279e-02,1.03476164e-02,TS
2,2220.271572,0.042759,-4.35706406e-02,7.46940577e-03,TS
2,2497.701306,0.042759,-4.16596056e-02,4.70888480e-03,TS
2,2809.796735,0.042759,-3.98365092e-02,2.06170199e-03,TS
2,3160.889444,0.042759,-3.80961888e-02,-4.76322470e-04,TS
2,3555.852262,0.042759,-3.64338926e-02,-2.90918441e-03,TS
2,4000.166894,0.042759,-3.48452596e-02,-5.24069200e-03,TS
2,4500.000000,0.042759,-3.33263114e-02,-7.47447890e-03,TS
2,300.000000,0.050345,nan,nan,
2,337.485919,0.050345,nan,nan,
2,379.655818,0.050345,nan,nan,
2,427.094976,0.050345,nan,nan,
2,480.461801,0.050345,nan,nan,
2,540.496975,0.050345,nan,nan,
2,608.033727,0.050345,nan,nan,
2,684.009404,0.050345,nan,nan,
2,769.478474,0.050345,nan,nan,
2,865.627167,0.050345,nan,nan,
2,973.789933,0.050345,nan,nan,
2,1095.467968,0.050345,-4.96201476e-02,4.23624104e-02,TS
2,1232.350046,0.050345,-4.73812826e-02,3.93173942e-02,TS
2,1386.335959,0.050345,-4.52598337e-02,3.63933851e-02,TS
2,1559.562883,0.050345,-4.32475273e-02,3.35857443e-02,TS
2,1754.435043,0.050345,-4.13369085e-02,3.08900325e-02,TS
2,1973.657075,0.050345,-3.95212261e-02,2.83019819e-02,TS
2,2220.271572,0.050345,-3.77943317e-02,2.58174819e-02,TS
2,2497.701306,0.050345,-3.61505942e-02,2.34325812e-02,TS
2,2809.796735,0.050345,-3.45848373e-02,2.11435012e-02,TS
2,3160.889444,0.050345,-3.30923012e-02,1.89466497e-02,TS
2,3555.852262,0.050345,-3.16686265e-02,1.68386253e-02,TS
2,4000.166894,0.050345,-3.03098481e-02,1.48162023e-02,TS
2,4500.000000,0.050345,-2.90123874e-02,1.28762969e-02,TS
2,300.000000,0.057931,nan,nan,
2,337.485919,0.057931,nan,nan,
2,379.655818,0.057931,nan,nan,
2,427.094976,0.057931,nan,nan,
2,480.461801,0.057931,nan,nan,
2,540.496975,0.057931,nan,nan,
2,608.033727,0.057931,nan,nan,
2,684.009404,0.057931,nan,nan,
2,769.478474,0.057931,-4.81881878e-02,7.28992936e-02,TS
2,865.627167,0.057931,-4.58987477e-02,7.00498900e-02,TS
2,973.789933,0.057931,-4.37427979e-02,6.73143060e-02,TS
2,1095.467968,0.057931,-4.17098070e-02,6.46878511e-02,TS
2,1232.350046,0.057931,-3.97903780e-02,6.21661257e-02,TS
2,1386.335959,0.057931,-3.79760967e-02,5.97449629e-02,TS
2,1559.562883,0.057931,-3.62593996e-02,5.74203836e-02,TS
2,1754.435043,0.057931,-3.46334555e-02,5.51885670e-02,TS
2,1973.657075,0.057931,-3.30920594e-02,5.30458360e-02,TS
2,2220.271572,0.057931,-3.16295423e-02,5.09886582e-02,TS
2,2497.701306,0.057931,-3.02407027e-02,4.90136608e-02,TS
2,2809.796735,0.057931,-2.89207643e-02,4.71176479e-02,TS
2,3160.889444,0.057931,-2.76653565e-02,4.52976101e-02,TS
2,3555.852262,0.057931,-2.64705112e-02,4.35507148e-02,TS
2,4000.166894,0.057931,-2.53326580e-02,4.18742750e-02,TS
2,4500.000000,0.057931,-2.42486079e-02,4.02657033e-02,TS
2,300.000000,0.065517,-3.44225384e-02,-4.39094155e-01,TS
2,337.485919,0.065517,-3.29427628e-02,-4.41508275e-01,TS
2,379.655818,0.065517,-3.14996468e-02,-4.43793981e-01,TS
2,427.094976,0.065517,-3.00960978e-02,-4.45957803e-01,TS
2,480.461801,0.065517,-2.87342386e-02,-4.48005985e-01,TS
2,540.496975,0.065517,-2.74155494e-02,-4.49944478e-01,TS
2,608.033727,0.065517,-2.61409829e-02,-4.51778941e-01,TS
2,684.009404,0.065517,-2.49110596e-02,-4.53514743e-01,TS
2,769.478474,0.065517,-2.37259466e-02,-4.55156982e-01,TS
2,865.627167,0.065517,-2.25855260e-02,-4.56710487e-01,TS
2,973.789933,0.065517,-2.14894535e-02,-4.58179847e-01,TS
2,1095.467968,0.065517,-2.04372064e-02,-4.59569428e-01,TS
2,1232.350046,0.065517,-1.94281135e-02,-4.60883406e-01,TS
2,1386.335959,0.065517,-1.84613645e-02,-4.62125800e-01,TS
2,1559.562883,0.065517,-1.75359997e-02,-4.63300475e-01,TS
2,1754.435043,0.065517,-1.66508935e-02,-4.64411133e-01,TS
2,1973.657075,0.065517,-1.58047507e-02,-4.65461268e-01,TS
2,2220.271572,0.065517,-1.49961344e-02,-4.66454108e-01,TS
2,2497.701306,0.065517,-1.42235318e-02,-4.67392566e-01,TS
2,2809.796735,0.065517,-1.34854491e-02,-4.68279220e-01,TS
2,3160.889444,0.065517,-1.27805123e-02,-4.69116343e-01,TS
2,3555.852262,0.065517,-1.21075493e-02,-4.69905972e-01,TS
2,4000.166894,0.065517,-1.14656339e-02,-4.70650009e-01,TS
2,4500.000000,0.065517,-1.08540858e-02,-4.71350322e-01,TS
2,300.000000,0.073103,-3.95739900e-02,-3.49698207e-01,TS
2,337.485919,0.073103,-3.78511555e-02,-3.52451937e-01,TS
2,379.655818,0.073103,-3.61758844e-02,-3.55058609e-01,TS
2,427.094976,0.073103,-3.45506739e-02,-3.57526176e-01,TS
2,480.461801,0.073103,-3.29772122e-02,-3.59862116e-01,TS
2,540.496975,0.073103,-3.14565379e-02,-3.62073455e-01,TS
2,608.033727,0.073103,-2.99891667e-02,-3.64166793e-01,TS
2,684.009404,0.073103,-2.85751940e-02,-3.66148340e-01,TS
2,769.478474,0.073103,-2.72143785e-02,-3.68023937e-01,TS
2,865.627167,0.073103,-2.59062146e-02,-3.69799091e-01,TS
2,973.789933,0.073103,-2.46499923e-02,-3.71479006e-01,TS
2,1095.467968,0.073103,-2.34448430e-02,-3.73068616e-01,TS
2,1232.350046,0.073103,-2.22897658e-02,-3.74572633e-01,TS
2,1386.335959,0.073103,-2.11836315e-02,-3.75995568e-01,TS
2,1559.562883,0.073103,-2.01251700e-02,-3.77341750e-01,TS
2,1754.435043,0.073103,-1.91129572e-02,-3.78615302e-01,TS
2,1973.657075,0.073103,-1.81454193e-02,-3.79820101e-01,TS
2,2220.271572,0.073103,-1.72208713e-02,-3.80959724e-01,TS
2,2497.701306,0.073103,-1.61623330e-02,1.17202727e-01,TS
2,2809.796735,0.073103,-1.50877062e-02,1.16157340e-01,TS
2,3160.889444,0.073103,-1.40425429e-02,1.15159820e-01,TS
2,3555.852262,0.073103,-1.30222054e-02,1.14207314e-01,TS
2,4000.166894,0.073103,-1.20223469e-02,1.13296742e-01,TS
2,4500.000000,0.073103,-1.10389159e-02,1.12424694e-01,TS
2,300.000000,0.080690,-3.72766282e-02,1.76501994e-01,TS
2,337.485919,0.080690,-3.47520478e-02,1.74737619e-01,TS
2,379.655818,0.080690,-3.24127206e-02,1.73057368e-01,TS
2,427.094976,0.080690,-3.02369003e-02,1.71455868e-01,TS
2,480.461801,0.080690,-2.82054428e-02,1.69928752e-01,TS
2,540.496975,0.080690,-2.63014251e-02,1.68472326e-01,TS
2,608.033727,0.080690,-2.45098065e-02,1.67083316e-01,TS
2,684.009404,0.080690,-2.28171356e-02,1.65758686e-01,TS
2,769.478474,0.080690,-2.12112986e-02,1.64495502e-01,TS
2,865.627167,0.080690,-1.96813078e-02,1.63290822e-01,TS
2,973.789933,0.080690,-1.82171265e-02,1.62141601e-01,TS
2,1095.467968,0.080690,-1.68095257e-02,1.61044611e-01,TS
2,1232.350046,0.080690,-1.54499707e-02,1.59996351e-01,TS
2,1386.335959,0.080690,-1.41305343e-02,1.58992964e-01,TS
2,1559.562883,0.080690,-1.28438393e-02,1.58030159e-01,TS
2,1754.435043,0.080690,-1.15830354e-02,1.57103134e-01,TS
2,1973.657075,0.080690,-1.03418216e-02,1.56206517e-01,TS
2,2220.271572,0.080690,-9.11452435e-03,1.55334319e-01,TS
2,2497.701306,0.080690,-7.89623732e-03,1.54479912e-01,TS
2,2809.796735,0.080690,-6.68302062e-03,1.53636026e-01,TS
2,3160.889444,0.080690,-5.47214298e-03,1.52794779e-01,TS
2,3555.852262,0.080690,-4.26234122e-03,1.51947767e-01,TS
2,4000.166894,0.080690,-3.05406228e-03,1.51086216e-01,TS
2,4500.000000,0.080690,-1.84965033e-03,1.50201244e-01,TS
2,300.000000,0.088276,-2.80549809e-02,2.06725791e-01,TS
2,337.485919,0.088276,-2.58736092e-02,2.05437310e-01,TS
2,379.655818,0.088276,-2.38361318e-02,2.04210050e-01,TS
2,427.094976,0.088276,-2.19231492e-02,2.03039828e-01,TS
2,480.461801,0.088276,-2.01174065e-02,2.01922871e-01,TS
2,540.496975,0.088276,-1.84034765e-02,2.00855537e-01,TS
2,608.033727,0.088276,-1.67674938e-02,1.99834100e-01,TS
2,684.009404,0.088276,-1.51969449e-02,1.98854564e-01,TS
2,769.478474,0.088276,-1.36805137e-02,1.97912519e-01,TS
2,865.627167,0.088276,-1.22079855e-02,1.97002999e-01,TS
2,973.789933,0.088276,-1.07702098e-02,1.96120364e-01,TS
2,1095.467968,0.088276,-9.35912311e-03,1.95258206e-01,TS
2,1232.350046,0.088276,-7.96783016e-03,1.94409267e-01,TS
2,1386.335959,0.088276,-6.59073915e-03,1.93565419e-01,TS
2,1559.562883,0.088276,-5.22374588e-03,1.92717698e-01,TS
2,1754.435043,0.088276,-3.86445566e-03,1.91856430e-01,TS
2,1973.657075,0.088276,-2.51242588e-03,1.90971467e-01,TS
2,2220.271572,0.088276,-1.16940111e-03,1.90052529e-01,TS
2,2497.701306,0.088276,1.60500654e-04,1.89089658e-01,TS
2,2809.796735,0.088276,1.47070228e-03,1.88073751e-01,TS
