Re_L,alpha_digitized,alpha_pymack_ci_level,crossing_dir,rel_err_alpha,c_i_level
550.0000,0.055000,0.065333,1,0.187875,0.0040
750.0000,0.105000,0.066737,-1,0.364405,0.0040
950.0000,0.140000,0.067419,-1,0.518438,0.0040
1150.0000,0.162000,0.075801,-1,0.532094,0.0040
1350.0000,0.172000,0.075850,-1,0.559009,0.0040
1550.0000,0.172000,0.075839,-1,0.559078,0.0040
1750.0000,0.165000,0.075808,-1,0.540559,0.0040
1950.0000,0.154000,0.075794,-1,0.507832,0.0040
2150.0000,0.140000,0.075821,-1,0.458423,0.0040
2350.0000,0.125000,0.075897,-1,0.392824,0.0040
2550.0000,0.110000,0.076023,-1,0.308883,0.0040
2750.0000,0.096000,0.076208,-1,0.206170,0.0040
2950.0000,0.083000,0.076435,-1,0.079101,0.0040
3150.0000,0.072000,0.076697,-1,0.065232,0.0040
3350.0000,0.063000,0.076959,-1,0.221573,0.0040
3550.0000,0.056000,0.048754,1,0.129400,0.0040
3750.0000,0.050000,0.048563,1,0.028743,0.0040
3950.0000,0.046000,0.048380,1,0.051743,0.0040
4150.0000,0.043000,0.048218,1,0.121347,0.0040
4350.0000,0.040000,0.048065,1,0.201632,0.0040
