Ma,Re_L,alpha_L,c_i,c_r,family
3,300.000000,0.020000,nan,nan,
3,337.485919,0.020000,nan,nan,
3,379.655818,0.020000,nan,nan,
3,427.094976,0.020000,nan,nan,
3,480.461801,0.020000,nan,nan,
3,540.496975,0.020000,nan,nan,
3,608.033727,0.020000,nan,nan,
3,684.009404,0.020000,nan,nan,
3,769.478474,0.020000,nan,nan,
3,865.627167,0.020000,nan,nan,
3,973.789933,0.020000,nan,nan,
3,1095.467968,0.020000,nan,nan,
3,1232.350046,0.020000,nan,nan,
3,1386.335959,0.020000,nan,nan,
3,1559.562883,0.020000,nan,nan,
3,1754.435043,0.020000,nan,nan,
3,1973.657075,0.020000,nan,nan,
3,2220.271572,0.020000,nan,nan,
3,2497.701306,0.020000,nan,nan,
3,2809.796735,0.020000,nan,nan,
3,3160.889444,0.020000,nan,nan,
3,3555.852262,0.020000,nan,nan,
3,4000.166894,0.020000,nan,nan,
3,4500.000000,0.020000,-4.93443889e-02,5.88424225e-02,TS
3,300.000000,0.027586,-2.78349126e-02,-3.73310025e-01,TS
3,337.485919,0.027586,-2.75884967e-02,-3.75952180e-01,TS
3,379.655818,0.027586,-2.72160229e-02,-3.78500213e-01,TS
3,427.094976,0.027586,-2.67402044e-02,-3.80947736e-01,TS
3,480.461801,0.027586,-2.61809613e-02,-3.83291815e-01,TS
3,540.496975,0.027586,-2.55554962e-02,-3.85531934e-01,TS
3,608.033727,0.027586,-2.48785175e-02,-3.87669211e-01,TS
3,684.009404,0.027586,-2.41625242e-02,-3.89705847e-01,TS
3,769.478474,0.027586,-2.34180975e-02,-3.91644722e-01,TS
3,865.627167,0.027586,-2.26541764e-02,-3.93489128e-01,TS
3,973.789933,0.027586,-2.18783049e-02,-3.95242586e-01,TS
3,1095.467968,0.027586,-2.10968463e-02,-3.96908728e-01,TS
3,1232.350046,0.027586,-2.03151586e-02,-3.98491231e-01,TS
3,1386.335959,0.027586,-1.95377291e-02,-3.99993780e-01,TS
3,1559.562883,0.027586,-1.87682681e-02,-4.01420042e-01,TS
3,1754.435043,0.027586,-1.80097746e-02,-4.02773621e-01,TS
3,1973.657075,0.027586,-1.72645936e-02,-4.04058004e-01,TS
3,2220.271572,0.027586,-1.65344913e-02,-4.05276481e-01,TS
3,2497.701306,0.027586,-1.58207625e-02,-4.06432069e-01,TS
3,2809.796735,0.027586,-1.51243704e-02,-4.07527466e-01,TS
3,3160.889444,0.027586,-1.44460987e-02,-4.08565059e-01,TS
3,3555.852262,0.027586,-1.37866867e-02,-4.09546984e-01,TS
3,4000.166894,0.027586,-1.31469217e-02,-4.10475225e-01,TS
3,4500.000000,0.027586,-1.25276745e-02,-4.11351736e-01,TS
3,300.000000,0.035172,nan,nan,
3,337.485919,0.035172,-4.94255947e-02,-1.64909105e-01,TS
3,379.655818,0.035172,-4.82412818e-02,-1.69217649e-01,TS
3,427.094976,0.035172,-4.69507218e-02,-1.73305243e-01,TS
3,480.461801,0.035172,-4.55845456e-02,-1.77181255e-01,TS
3,540.496975,0.035172,-4.41671707e-02,-1.80856288e-01,TS
3,608.033727,0.035172,-4.27180112e-02,-1.84341248e-01,TS
3,684.009404,0.035172,-4.12524975e-02,-1.87646800e-01,TS
3,769.478474,0.035172,-3.80216033e-02,2.08565679e-01,TS
3,865.627167,0.035172,-3.48737489e-02,2.06999623e-01,TS
3,973.789933,0.035172,-3.19430128e-02,2.05483644e-01,TS
3,1095.467968,0.035172,-2.91972244e-02,2.04015846e-01,TS
3,1232.350046,0.035172,-2.66084396e-02,2.02593998e-01,TS
3,1386.335959,0.035172,-2.41522839e-02,2.01215219e-01,TS
3,1559.562883,0.035172,-2.18074503e-02,1.99875764e-01,TS
3,1754.435043,0.035172,-1.95553397e-02,1.98570883e-01,TS
3,1973.657075,0.035172,-1.73798354e-02,1.97294743e-01,TS
3,2220.271572,0.035172,-1.52671998e-02,1.96040416e-01,TS
3,2497.701306,0.035172,-1.32060788e-02,1.94799928e-01,TS
3,2809.796735,0.035172,-1.11875844e-02,1.93564384e-01,TS
3,3160.889444,0.035172,-9.20541892e-03,1.92324173e-01,TS
3,3555.852262,0.035172,-7.25598995e-03,1.91069257e-01,TS
3,4000.166894,0.035172,-5.33846610e-03,1.89789549e-01,TS
3,4500.000000,0.035172,-3.45472958e-03,1.88475357e-01,TS
3,300.000000,0.042759,-3.68055836e-02,2.91649697e-01,TS
3,337.485919,0.042759,-3.21834211e-02,2.91276896e-01,TS
3,379.655818,0.042759,-2.80216385e-02,2.90875989e-01,TS
3,427.094976,0.042759,-2.42413449e-02,2.90438095e-01,TS
3,480.461801,0.042759,-2.07763217e-02,2.89957420e-01,TS
