Re_L,branch,alpha_neutral_pymack,status
500.0000,lower,0.051146,ok
500.0000,upper,0.158733,ok
700.0000,lower,0.047777,ok
700.0000,upper,0.197659,ok
900.0000,lower,0.045520,ok
900.0000,upper,0.203127,ok
1100.0000,lower,0.043623,ok
1100.0000,upper,0.203165,ok
1300.0000,lower,0.042336,ok
1300.0000,upper,0.202825,ok
1500.0000,lower,0.041593,ok
1500.0000,upper,0.228042,ok
1700.0000,lower,0.040960,ok
1700.0000,upper,0.233581,ok
1900.0000,lower,0.040412,ok
1900.0000,upper,0.233833,ok
2100.0000,lower,0.039931,ok
2100.0000,upper,0.233544,ok
2300.0000,lower,0.039502,ok
2300.0000,upper,0.233037,ok
2500.0000,lower,0.039112,ok
2500.0000,upper,0.232680,ok
2700.0000,lower,0.038762,ok
2700.0000,upper,0.236919,ok
2900.0000,lower,0.038435,ok
2900.0000,upper,0.068894,ok
3100.0000,lower,0.038131,ok
3100.0000,upper,0.068930,ok
3300.0000,lower,0.037847,ok
3300.0000,upper,0.068972,ok
3500.0000,lower,0.037576,ok
3500.0000,upper,0.069017,ok
3700.0000,lower,0.037319,ok
3700.0000,upper,0.069063,ok
3900.0000,lower,0.037072,ok
3900.0000,upper,0.069110,ok
4100.0000,lower,0.036833,ok
4100.0000,upper,0.069156,ok
4300.0000,lower,0.036603,ok
4300.0000,upper,0.069202,ok
