# Malik (1990) JCP 86:376 Fig.4  T_hat_i (imag temperature eigenfunction, labelled T_l), M=10 cooled wall, alpha=0.105 second mode.
# Digitised from local 400-DPI crop. ONE continuous curve: near-wall dip ~-0.59 (the DEEPER near-wall dip),
# UPPER of the two rising curves in y~6-11, rounded +0.45 hump at y~11, steep descent through zero to the
# -0.55 dip at y~15.5, then recovers toward 0. Shares the single complex T_hat scaling with T_hat_r (do NOT renormalise separately).
y,value
0.00,-0.0500
0.50,-0.3053
1.00,-0.5030
1.50,-0.5938
2.00,-0.5843
2.50,-0.5444
3.00,-0.4900
3.50,-0.4300
4.00,-0.3600
4.50,-0.2638
5.00,-0.1900
5.50,-0.1204
6.00,0.0215
6.50,0.1108
7.00,0.1602
7.50,0.2000
8.00,0.2367
8.50,0.2734
9.00,0.3148
9.50,0.3579
10.00,0.3786
10.50,0.4328
11.00,0.4503
11.50,0.4328
12.00,0.3642
12.50,0.2287
13.00,0.1012
13.50,-0.1714
14.00,-0.3802
14.50,-0.4854
15.00,-0.4759
15.50,-0.5540
16.00,-0.5540
16.50,-0.1780
17.00,-0.0949
17.50,-0.0343
18.00,-0.0040
18.50,0.0006
19.00,-0.0034
19.50,-0.0016
20.00,-0.0016
20.50,-0.0016
21.00,-0.0016
21.50,-0.0016
22.00,0.0134
22.50,0.0024
23.00,0.0008
23.50,0.0008
24.00,0.0072
24.50,-0.0008
25.00,0.0075
25.50,0.0008
26.00,0.0056
26.50,0.0056
27.00,0.0115
27.50,0.0115
28.00,0.0024
28.50,0.0087
29.00,0.0072
29.50,0.0072
30.00,0.0050
