# Malik (1990) JCP 86:376 Fig.4  T_hat_r (real temperature eigenfunction), M=10 cooled wall, alpha=0.105 second mode.
# Digitised from local 400-DPI crop. Malik normalisation: T_hat_r peaks at +1.0 near y=13.
# Near-wall dip ~-0.5 (the SHALLOWER of the two near-wall temperature dips; the deeper ~-0.6 dip is T_hat_i),
# zero-crossing near y~6, LOWER of the two rising curves in y~6-11, overtakes T_hat_i near y~11.5, +1 peak at y~13.
y,value
0.00,-0.0500
0.50,-0.2167
1.00,-0.4600
1.50,-0.5109
2.00,-0.4807
2.50,-0.4600
3.00,-0.4200
3.50,-0.3800
4.00,-0.3300
4.50,-0.2638
5.00,-0.1800
5.50,-0.1204
6.00,-0.0455
6.50,0.0374
7.00,0.0805
7.50,0.1363
8.00,0.1809
8.50,0.2224
9.00,0.2638
9.50,0.3148
10.00,0.3786
10.50,0.4328
11.00,0.5763
11.50,0.6942
12.00,0.8297
12.50,0.9493
13.00,1.0099
13.50,0.9796
14.00,0.8500
14.50,0.6767
15.00,0.4535
15.50,0.2893
16.00,0.1666
16.50,0.0901
17.00,0.0916
17.50,0.0885
18.00,0.0821
18.50,0.0805
19.00,0.0773
19.50,0.0741
20.00,0.0693
20.50,0.0677
21.00,0.0645
21.50,0.0629
22.00,0.0629
22.50,0.0598
23.00,0.0566
23.50,0.0550
24.00,0.0518
24.50,0.0518
25.00,0.0470
25.50,0.0438
26.00,0.0422
26.50,0.0422
27.00,0.0406
27.50,0.0390
28.00,0.0374
28.50,0.0247
29.00,0.0247
29.50,0.0072
30.00,0.0060
