mode,R,omega,neg_alpha_i
second,240.0,0.15500,-1.177405e-03
second,240.0,0.15881,-1.037990e-03
second,240.0,0.16262,-8.900008e-04
second,240.0,0.16643,-7.471264e-04
second,240.0,0.17024,-6.252412e-04
second,240.0,0.17405,-5.397326e-04
second,240.0,0.17786,-5.031763e-04
second,240.0,0.18167,-5.240473e-04
second,240.0,0.18548,-6.064371e-04
second,240.0,0.18929,-7.503786e-04
second,240.0,0.19310,-9.524129e-04
second,240.0,0.19690,-1.206220e-03
second,240.0,0.20071,-1.503290e-03
second,240.0,0.20452,-1.833673e-03
second,240.0,0.20833,-2.186836e-03
second,240.0,0.21214,-2.552568e-03
second,240.0,0.21595,-2.921806e-03
second,240.0,0.21976,-3.287243e-03
second,240.0,0.22357,-3.643594e-03
second,240.0,0.22738,-3.987549e-03
second,240.0,0.23119,-4.317468e-03
second,240.0,0.23500,-4.632984e-03
second,357.3,0.15500,-1.005785e-03
second,357.3,0.15881,-8.633443e-04
second,357.3,0.16262,-6.749448e-04
second,357.3,0.16643,-4.462458e-04
second,357.3,0.17024,-1.942868e-04
second,357.3,0.17405,5.402058e-05
second,357.3,0.17786,2.686182e-04
second,357.3,0.18167,4.237641e-04
second,357.3,0.18548,5.019097e-04
second,357.3,0.18929,4.938566e-04
second,357.3,0.19310,3.973167e-04
second,357.3,0.19690,2.154726e-04
second,357.3,0.20071,-4.396744e-05
second,357.3,0.20452,-3.693696e-04
second,357.3,0.20833,-7.458260e-04
second,357.3,0.21214,-1.156256e-03
second,357.3,0.21595,-1.583127e-03
second,357.3,0.21976,-2.010546e-03
second,357.3,0.22357,-2.426063e-03
second,357.3,0.22738,-2.821562e-03
second,357.3,0.23119,-3.193070e-03
second,357.3,0.23500,-3.539825e-03
second,474.7,0.15500,-9.413838e-04
second,474.7,0.15881,-8.325148e-04
second,474.7,0.16262,-6.636267e-04
second,474.7,0.16643,-4.251107e-04
second,474.7,0.17024,-1.200829e-04
second,474.7,0.17405,2.266962e-04
second,474.7,0.17786,5.716859e-04
second,474.7,0.18167,8.686960e-04
second,474.7,0.18548,1.083199e-03
second,474.7,0.18929,1.195555e-03
second,474.7,0.19310,1.197695e-03
second,474.7,0.19690,1.089339e-03
second,474.7,0.20071,8.758640e-04
second,474.7,0.20452,5.676820e-04
second,474.7,0.20833,1.803646e-04
second,474.7,0.21214,-2.654243e-04
second,474.7,0.21595,-7.452153e-04
second,474.7,0.21976,-1.233822e-03
second,474.7,0.22357,-1.709526e-03
second,474.7,0.22738,-2.157415e-03
second,474.7,0.23119,-2.570232e-03
second,474.7,0.23500,-2.946905e-03
second,592.0,0.15500,-8.972321e-04
second,592.0,0.15881,-8.235239e-04
second,592.0,0.16262,-6.894457e-04
second,592.0,0.16643,-4.741566e-04
second,592.0,0.17024,-1.623635e-04
second,592.0,0.17405,2.368592e-04
second,592.0,0.17786,6.765322e-04
second,592.0,0.18167,1.089172e-03
second,592.0,0.18548,1.419198e-03
second,592.0,0.18929,1.635222e-03
second,592.0,0.19310,1.724247e-03
second,592.0,0.19690,1.683719e-03
second,592.0,0.20071,1.517179e-03
second,592.0,0.20452,1.233085e-03
second,592.0,0.20833,8.455276e-04
second,592.0,0.21214,3.756046e-04
second,592.0,0.21595,-1.481673e-04
second,592.0,0.21976,-6.924181e-04
second,592.0,0.22357,-1.225166e-03
second,592.0,0.22738,-1.722935e-03
second,592.0,0.23119,-2.174161e-03
second,592.0,0.23500,-2.577472e-03
second,709.3,0.15500,-8.618735e-04
second,709.3,0.15881,-8.171943e-04
second,709.3,0.16262,-7.169962e-04
second,709.3,0.16643,-5.349262e-04
second,709.3,0.17024,-2.407593e-04
second,709.3,0.17405,1.789448e-04
second,709.3,0.17786,6.864496e-04
second,709.3,0.18167,1.195615e-03
second,709.3,0.18548,1.625525e-03
second,709.3,0.18929,1.931285e-03
second,709.3,0.19310,2.095796e-03
second,709.3,0.19690,2.115563e-03
second,709.3,0.20071,1.993262e-03
second,709.3,0.20452,1.735678e-03
second,709.3,0.20833,1.354668e-03
second,709.3,0.21214,8.697505e-04
second,709.3,0.21595,3.107040e-04
second,709.3,0.21976,-2.829673e-04
second,709.3,0.22357,-8.689890e-04
second,709.3,0.22738,-1.413866e-03
second,709.3,0.23119,-1.900639e-03
second,709.3,0.23500,-2.327574e-03
second,826.7,0.15500,-8.322229e-04
second,826.7,0.15881,-8.103325e-04
second,826.7,0.16262,-7.390568e-04
second,826.7,0.16643,-5.904374e-04
second,826.7,0.17024,-3.249254e-04
second,826.7,0.17405,9.345973e-05
second,826.7,0.17786,6.475304e-04
second,826.7,0.18167,1.238693e-03
second,826.7,0.18548,1.756751e-03
second,826.7,0.18929,2.141142e-03
second,826.7,0.19310,2.371356e-03
second,826.7,0.19690,2.444114e-03
second,826.7,0.20071,2.362130e-03
second,826.7,0.20452,2.131071e-03
second,826.7,0.20833,1.760537e-03
second,826.7,0.21214,1.267473e-03
second,826.7,0.21595,6.807949e-04
second,826.7,0.21976,4.382324e-05
second,826.7,0.22357,-5.916249e-04
second,826.7,0.22738,-1.180966e-03
second,826.7,0.23119,-1.700746e-03
second,826.7,0.23500,-2.148748e-03
second,944.0,0.15500,-8.068880e-04
second,944.0,0.15881,-8.028444e-04
second,944.0,0.16262,-7.553594e-04
second,944.0,0.16643,-6.369806e-04
second,944.0,0.17024,-4.036191e-04
second,944.0,0.17405,-7.096883e-07
second,944.0,0.17786,5.826144e-04
second,944.0,0.18167,1.244221e-03
second,944.0,0.18548,1.841482e-03
second,944.0,0.18929,2.295688e-03
second,944.0,0.19310,2.583507e-03
second,944.0,0.19690,2.702825e-03
second,944.0,0.20071,2.657117e-03
second,944.0,0.20452,2.451461e-03
second,944.0,0.20833,2.093485e-03
second,944.0,0.21214,1.597226e-03
second,944.0,0.21595,9.893407e-04
second,944.0,0.21976,3.148019e-04
second,944.0,0.22357,-3.663080e-04
second,944.0,0.22738,-9.976696e-04
second,944.0,0.23119,-1.548263e-03
second,944.0,0.23500,-2.015209e-03
second,1061.3,0.15500,-7.850136e-04
second,1061.3,0.15881,-7.951019e-04
second,1061.3,0.16262,-7.670455e-04
second,1061.3,0.16643,-6.748818e-04
second,1061.3,0.17024,-4.732687e-04
second,1061.3,0.17405,-9.432908e-05
second,1061.3,0.17786,5.040384e-04
second,1061.3,0.18167,1.226493e-03
second,1061.3,0.18548,1.895998e-03
second,1061.3,0.18929,2.412939e-03
second,1061.3,0.19310,2.751690e-03
second,1061.3,0.19690,2.912088e-03
second,1061.3,0.20071,2.898896e-03
second,1061.3,0.20452,2.717049e-03
second,1061.3,0.20833,2.372562e-03
second,1061.3,0.21214,1.876599e-03
second,1061.3,0.21595,1.252764e-03
second,1061.3,0.21976,5.458778e-04
second,1061.3,0.22357,-1.772751e-04
second,1061.3,0.22738,-8.484054e-04
second,1061.3,0.23119,-1.427928e-03
second,1061.3,0.23500,-1.912069e-03
second,1178.7,0.15500,-7.659866e-04
second,1178.7,0.15881,-7.874241e-04
second,1178.7,0.16262,-7.752901e-04
second,1178.7,0.16643,-7.054845e-04
second,1178.7,0.17024,-5.334141e-04
second,1178.7,0.17405,-1.829020e-04
second,1178.7,0.17786,4.189159e-04
second,1178.7,0.18167,1.193942e-03
second,1178.7,0.18548,1.930151e-03
second,1178.7,0.18929,2.504049e-03
second,1178.7,0.19310,2.888199e-03
