mode,branch,R,omega
second,upper,250.0,0.18643
second,upper,275.0,0.19298
second,upper,300.0,0.19636
second,upper,325.0,0.19974
second,upper,350.0,0.20323
second,upper,375.0,0.20465
second,upper,425.0,0.20782
second,upper,450.0,0.20858
second,upper,475.0,0.21044
second,upper,500.0,0.21153
second,upper,525.0,0.21251
second,upper,575.0,0.21404
second,upper,600.0,0.21415
second,upper,650.0,0.21589
second,upper,700.0,0.21699
second,upper,725.0,0.21742
second,upper,750.0,0.21775
second,upper,800.0,0.21851
second,upper,825.0,0.21873
second,upper,850.0,0.21906
second,upper,900.0,0.21971
second,upper,925.0,0.21982
second,upper,975.0,0.22037
second,upper,1025.0,0.2207
second,upper,1075.0,0.22113
second,upper,1125.0,0.22146
second,upper,1150.0,0.22157
second,upper,1175.0,0.22168
second,upper,1225.0,0.22201
second,upper,1250.0,0.22223
second,upper,1300.0,0.22233
second,upper,1325.0,0.22244
second,upper,1350.0,0.22255
second,upper,1400.0,0.22288
second,upper,1425.0,0.22288
second,upper,1450.0,0.22288
second,upper,1500.0,0.22321
second,upper,1525.0,0.22321
second,upper,1575.0,0.22353
second,upper,1600.0,0.22353
second,upper,1625.0,0.22364
second,upper,1675.0,0.22375
second,upper,1700.0,0.22375
second,upper,1725.0,0.22386
second,upper,1775.0,0.22397
second,upper,1800.0,0.22386
second,upper,1850.0,0.22408
second,upper,1875.0,0.22419
second,upper,1900.0,0.22408
second,upper,1950.0,0.22419
second,upper,1975.0,0.22441
second,upper,2000.0,0.22441
second,lower,250.0,0.17508
second,lower,275.0,0.17246
second,lower,300.0,0.1706
second,lower,325.0,0.17006
second,lower,350.0,0.16962
second,lower,400.0,0.16929
second,lower,425.0,0.1694
second,lower,450.0,0.16929
second,lower,500.0,0.16962
second,lower,525.0,0.16984
second,lower,575.0,0.17017
second,lower,600.0,0.17017
second,lower,625.0,0.17049
second,lower,675.0,0.17071
second,lower,700.0,0.17115
second,lower,725.0,0.17104
second,lower,750.0,0.17115
second,lower,850.0,0.1718
second,lower,900.0,0.17224
second,lower,925.0,0.17224
second,lower,950.0,0.17246
second,lower,1000.0,0.17268
second,lower,1025.0,0.17278
second,lower,1050.0,0.17289
second,lower,1100.0,0.17322
second,lower,1125.0,0.17333
second,lower,1175.0,0.17366
second,lower,1200.0,0.17366
second,lower,1225.0,0.17377
second,lower,1275.0,0.17399
second,lower,1325.0,0.1742
second,lower,1350.0,0.17431
second,lower,1375.0,0.17453
second,lower,1450.0,0.17486
second,lower,1500.0,0.17508
second,lower,1525.0,0.17508
second,lower,1550.0,0.17508
second,lower,1600.0,0.1754
second,lower,1625.0,0.17551
second,lower,1650.0,0.17551
second,lower,1700.0,0.17617
second,lower,1725.0,0.17584
second,lower,1750.0,0.17584
second,lower,1775.0,0.17595
second,lower,1825.0,0.17595
second,lower,1875.0,0.17595
second,lower,1900.0,0.17617
second,lower,1925.0,0.17628
second,lower,2000.0,0.1766
first,upper,560.0,0.04957
first,upper,580.0,0.0655
first,upper,600.0,0.07063
first,upper,620.0,0.07456
first,upper,640.0,0.07783
first,upper,660.0,0.08034
first,upper,680.0,0.08264
first,upper,700.0,0.08504
first,upper,720.0,0.08689
first,upper,740.0,0.08864
first,upper,760.0,0.09017
first,upper,780.0,0.09191
first,upper,800.0,0.09333
first,upper,820.0,0.09442
first,upper,840.0,0.09573
first,upper,860.0,0.09693
first,upper,880.0,0.09802
first,upper,900.0,0.09922
first,upper,920.0,0.10021
first,upper,940.0,0.10119
first,upper,960.0,0.10206
first,upper,980.0,0.10283
first,upper,1000.0,0.1037
first,upper,1020.0,0.10435
first,upper,1040.0,0.10501
first,upper,1060.0,0.10566
first,upper,1080.0,0.10643
first,upper,1100.0,0.10719
first,upper,1120.0,0.10763
first,upper,1140.0,0.10817
first,upper,1160.0,0.10872
first,upper,1180.0,0.10927
first,upper,1200.0,0.10992
first,upper,1220.0,0.11025
first,upper,1240.0,0.11079
first,upper,1260.0,0.11112
first,upper,1280.0,0.11167
first,upper,1300.0,0.1121
first,upper,1320.0,0.11254
first,upper,1340.0,0.11287
first,upper,1360.0,0.1133
first,upper,1380.0,0.11363
first,upper,1400.0,0.11418
first,upper,1420.0,0.11439
first,upper,1440.0,0.11461
first,upper,1460.0,0.11505
first,upper,1480.0,0.11538
first,upper,1500.0,0.1157
first,upper,1520.0,0.11603
first,upper,1540.0,0.11625
first,upper,1560.0,0.11658
first,upper,1580.0,0.1169
first,upper,1600.0,0.11712
first,upper,1620.0,0.11712
first,upper,1640.0,0.11767
first,upper,1660.0,0.11778
first,upper,1680.0,0.118
first,upper,1700.0,0.11832
first,upper,1720.0,0.11854
first,upper,1740.0,0.11865
first,upper,1760.0,0.11887
first,upper,1780.0,0.11898
first,upper,1800.0,0.11942
first,upper,1820.0,0.11952
first,upper,1840.0,0.11963
first,upper,1860.0,0.11985
first,upper,1880.0,0.12007
first,upper,1900.0,0.12029
first,upper,1920.0,0.1204
first,upper,1940.0,0.12051
first,lower,560,0.04324
first,lower,600,0.0249
first,lower,620,0.0213
first,lower,640,0.01922
first,lower,660,0.0177
first,lower,680,0.01661
first,lower,700,0.01551
first,lower,720,0.01486
first,lower,740,0.0141
first,lower,760,0.01344
first,lower,780,0.01289
first,lower,800,0.01235
first,lower,820,0.01202
first,lower,840,0.01158
first,lower,860,0.01126
first,lower,880,0.01082
first,lower,900,0.0106
first,lower,920,0.01028
first,lower,940,0.00995
first,lower,960,0.00973
first,lower,980,0.0094
first,lower,1000,0.00907
first,lower,1020,0.00897
first,lower,1040,0.00886
first,lower,1060,0.00853
first,lower,1080,0.00831
first,lower,1100,0.0082
first,lower,1120,0.00798
first,lower,1140,0.00776
first,lower,1160,0.00766
first,lower,1180,0.00733
first,lower,1200,0.00722
first,lower,1220,0.00711
first,lower,1240,0.00711
first,lower,1260,0.00678
first,lower,1280,0.00678
first,lower,1300,0.00646
first,lower,1320,0.00646
first,lower,1340,0.00635
first,lower,1360,0.00635
first,lower,1380,0.00635
first,lower,1400,0.00635
first,lower,1420,0.00613
first,lower,1440,0.00613
first,lower,1460,0.00602
first,lower,1480,0.00602
first,lower,1500,0.00602
first,lower,1520,0.00602
first,lower,1540,0.00591
first,lower,1560,0.00591
first,lower,1580,0.00591
